,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-07-10,NSE:AARTECH,131.0,139.89999,117.4,117.4,737360.0,,
1,2023-07-11,NSE:AARTECH,120.0,129.10001,111.0,129.10001,465791.0,9.96593696763202,
2,2023-07-12,NSE:AARTECH,133.0,135.55,122.65,122.7,434261.0,-4.957404728318762,9.96593696763202
3,2023-07-13,NSE:AARTECH,121.0,123.45,116.6,116.6,43923.0,-4.971475142624294,-4.957404728318762
4,2023-07-14,NSE:AARTECH,118.9,118.9,110.8,110.8,57444.0,-4.974271012006859,-4.971475142624294
5,2023-07-17,NSE:AARTECH,107.0,112.8,105.3,105.3,79383.0,-4.963898916967509,-4.974271012006859
6,2023-07-18,NSE:AARTECH,101.0,103.55,100.05,100.05,32015.0,-4.985754985754986,-4.963898916967509
7,2023-07-19,NSE:AARTECH,100.05,105.05,95.050003,103.4,76721.0,3.348325837081468,-4.985754985754986
8,2023-07-20,NSE:AARTECH,106.5,108.55,103.7,108.55,35688.0,4.9806576402321,3.348325837081468
9,2023-07-21,NSE:AARTECH,112.5,113.95,110.6,113.95,28604.0,4.974666052510369,4.9806576402321
10,2023-07-24,NSE:AARTECH,117.75,119.0,112.2,116.4,17914.0,2.1500658183413806,4.974666052510369
11,2023-07-25,NSE:AARTECH,112.95,122.2,110.7,122.2,55193.0,4.982817869415805,2.1500658183413806
12,2023-07-26,NSE:AARTECH,127.75,128.3,119.0,128.2,55224.0,4.909983633387878,4.982817869415805
13,2023-07-27,NSE:AARTECH,130.95,134.60001,123.0,129.10001,23129.0,0.7020358814352643,4.909983633387878
14,2023-07-28,NSE:AARTECH,129.89999,135.3,129.0,132.14999,19636.0,2.3624940075527534,0.7020358814352643
15,2023-07-31,NSE:AARTECH,132.2,135.2,129.0,131.14999,6058.0,-0.756715910459017,2.3624940075527534
16,2023-08-01,NSE:AARTECH,134.89999,134.89999,126.55,129.14999,5487.0,-1.5249715230630212,-0.756715910459017
17,2023-08-02,NSE:AARTECH,129.0,132.45,122.75,123.45,6259.0,-4.413465304952791,-1.5249715230630212
18,2023-08-03,NSE:AARTECH,125.05,129.60001,125.0,128.55,6422.0,4.131227217496969,-4.413465304952791
