,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-08-24,NSE:APTUS,333.0,354.79999,333.0,346.89999,32581493.0,,
1,2021-08-25,NSE:APTUS,352.0,356.5,334.14999,348.14999,3883290.0,0.3603344007014817,
2,2021-08-26,NSE:APTUS,347.0,353.0,345.54999,351.54999,2794709.0,0.9765905781011158,0.3603344007014817
3,2021-08-27,NSE:APTUS,351.54999,359.0,347.0,355.20001,4421191.0,1.0382648567277843,0.9765905781011158
4,2021-08-30,NSE:APTUS,354.0,358.0,353.10001,355.75,2333990.0,0.15483952266780052,1.0382648567277843
5,2021-08-31,NSE:APTUS,356.0,377.70001,356.0,369.45001,5823315.0,3.8510217849613553,0.15483952266780052
6,2021-09-01,NSE:APTUS,371.0,381.39999,367.04999,377.70001,4708569.0,2.233049066638271,3.8510217849613553
7,2021-09-02,NSE:APTUS,377.0,380.70001,365.14999,367.0,1384495.0,-2.832938765344491,2.233049066638271
8,2021-09-03,NSE:APTUS,366.0,379.54999,366.0,375.79999,1886892.0,2.3978174386920927,-2.832938765344491
9,2021-09-06,NSE:APTUS,377.0,377.85001,369.29999,374.70001,1193895.0,-0.29270357351525195,2.3978174386920927
10,2021-09-07,NSE:APTUS,375.0,376.89999,366.79999,369.25,1462019.0,-1.4544995608620401,-0.29270357351525195
11,2021-09-08,NSE:APTUS,371.0,371.25,359.04999,360.45001,714841.0,-2.3832064996614704,-1.4544995608620401
12,2021-09-09,NSE:APTUS,361.95001,366.39999,360.0,361.14999,661118.0,0.19419613832164473,-2.3832064996614704
13,2021-09-13,NSE:APTUS,361.14999,363.95001,360.10001,362.20001,526976.0,0.2907434664472835,0.19419613832164473
14,2021-09-14,NSE:APTUS,361.0,365.89999,360.04999,361.29999,423733.0,-0.2484870168833072,0.2907434664472835
15,2021-09-15,NSE:APTUS,359.10001,364.89999,359.10001,360.29999,557475.0,-0.27677830824185745,-0.2484870168833072
16,2021-09-16,NSE:APTUS,360.29999,362.95001,353.29999,356.70001,862593.0,-0.9991618373344833,-0.27677830824185745
17,2021-09-17,NSE:APTUS,354.0,355.0,340.95001,346.89999,679293.0,-2.7474123143422444,-0.9991618373344833
18,2021-09-20,NSE:APTUS,342.0,349.0,335.10001,336.79999,484887.0,-2.911501957667979,-2.7474123143422444
