,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2019-11-21,NSE:AVROIND,42.700001,42.700001,42.700001,42.700001,2000.0,,
1,2019-11-22,NSE:AVROIND,43.799999,44.099998,43.799999,44.099998,6000.0,3.2786814220449294,
2,2019-12-05,NSE:AVROIND,42.700001,43.299999,42.700001,43.299999,4000.0,-1.8140567716125513,3.2786814220449294
3,2019-12-06,NSE:AVROIND,46.799999,46.799999,46.799999,46.799999,2000.0,8.083141064275775,-1.8140567716125513
4,2019-12-09,NSE:AVROIND,47.75,48.599998,47.75,48.599998,14000.0,3.846151791584439,8.083141064275775
5,2019-12-10,NSE:AVROIND,49.799999,50.599998,49.799999,50.25,6000.0,3.39506598333605,3.846151791584439
6,2019-12-11,NSE:AVROIND,51.400002,51.400002,51.400002,51.400002,4000.0,2.288561194029852,3.39506598333605
7,2019-12-13,NSE:AVROIND,53.0,53.900002,53.0,53.450001,4000.0,3.988324747536001,2.288561194029852
8,2019-12-16,NSE:AVROIND,51.200001,51.200001,49.599998,49.599998,8000.0,-7.202998929784868,3.988324747536001
9,2019-12-17,NSE:AVROIND,51.0,53.400002,51.0,53.400002,6000.0,7.66129869602011,-7.202998929784868
10,2019-12-18,NSE:AVROIND,55.75,57.099998,55.75,57.099998,10000.0,6.928831201167368,7.66129869602011
11,2019-12-19,NSE:AVROIND,53.900002,53.900002,53.900002,53.900002,2000.0,-5.604196343404423,6.928831201167368
12,2019-12-23,NSE:AVROIND,50.700001,56.400002,50.700001,55.700001,10000.0,3.3395156460291036,-5.604196343404423
13,2020-01-02,NSE:AVROIND,56.400002,58.75,56.400002,57.650002,12000.0,3.500899398547588,3.3395156460291036
14,2020-01-03,NSE:AVROIND,55.0,55.0,55.0,55.0,2000.0,-4.596707559524457,3.500899398547588
15,2020-01-07,NSE:AVROIND,57.799999,58.799999,57.799999,58.450001,6000.0,6.272729090909092,-4.596707559524457
16,2020-01-20,NSE:AVROIND,53.900002,53.900002,53.900002,53.900002,2000.0,-7.784429293679566,6.272729090909092
17,2020-01-24,NSE:AVROIND,50.650002,51.450001,50.650002,51.450001,4000.0,-4.545456232079546,-7.784429293679566
18,2020-01-29,NSE:AVROIND,54.799999,54.799999,54.799999,54.799999,8000.0,6.511171885108418,-4.545456232079546
19,2020-02-03,NSE:AVROIND,54.599998,54.650002,54.599998,54.650002,8000.0,-0.27371715827950843,6.511171885108418
20,2020-02-04,NSE:AVROIND,57.0,57.0,57.0,57.0,2000.0,4.300087674287732,-0.27371715827950843
21,2020-02-05,NSE:AVROIND,57.0,59.599998,57.0,58.299999,4000.0,2.2806999999999995,4.300087674287732
22,2020-02-10,NSE:AVROIND,57.950001,57.950001,57.950001,57.950001,4000.0,-0.6003396329389291,2.2806999999999995
23,2020-02-18,NSE:AVROIND,60.400002,60.400002,60.400002,60.400002,2000.0,4.227784223851868,-0.6003396329389291
24,2020-02-20,NSE:AVROIND,60.5,60.5,60.5,60.5,2000.0,0.1655595971668997,4.227784223851868
25,2020-02-24,NSE:AVROIND,63.200001,63.200001,62.900002,62.900002,4000.0,3.9669454545454554,0.1655595971668997
26,2020-02-26,NSE:AVROIND,59.900002,59.900002,56.0,56.900002,10000.0,-9.538950412116044,3.9669454545454554
27,2020-03-06,NSE:AVROIND,56.900002,56.900002,56.900002,56.900002,2000.0,0.0,-9.538950412116044
28,2020-03-09,NSE:AVROIND,52.200001,52.200001,52.200001,52.200001,2000.0,-8.260106915286226,0.0
29,2020-06-16,NSE:AVROIND,41.799999,41.799999,41.799999,41.799999,2000.0,-19.923375097253352,-8.260106915286226
30,2020-06-18,NSE:AVROIND,38.049999,38.049999,38.049999,38.049999,2000.0,-8.97129208065292,-19.923375097253352
31,2020-06-29,NSE:AVROIND,41.5,42.5,41.5,42.0,8000.0,10.381080430514599,-8.97129208065292
32,2020-06-30,NSE:AVROIND,42.900002,46.0,40.299999,45.25,12000.0,7.738095238095238,10.381080430514599
33,2020-07-16,NSE:AVROIND,43.0,43.0,43.0,43.0,2000.0,-4.972375690607735,7.738095238095238
34,2020-07-17,NSE:AVROIND,43.5,43.5,43.5,43.5,2000.0,1.1627906976744187,-4.972375690607735
35,2020-07-20,NSE:AVROIND,44.0,44.0,44.0,44.0,6000.0,1.1494252873563218,1.1627906976744187
36,2020-07-31,NSE:AVROIND,41.0,41.0,41.0,41.0,2000.0,-6.8181818181818175,1.1494252873563218
37,2020-08-03,NSE:AVROIND,38.299999,38.299999,38.299999,38.299999,4000.0,-6.585368292682928,-6.8181818181818175
38,2020-08-05,NSE:AVROIND,35.0,41.0,35.0,39.650002,6000.0,3.524812102475514,-6.585368292682928
39,2020-08-07,NSE:AVROIND,42.0,44.900002,42.0,44.900002,4000.0,13.240856835265733,3.524812102475514
40,2020-08-10,NSE:AVROIND,47.0,48.0,47.0,48.0,4000.0,6.904226863954259,13.240856835265733
41,2020-08-11,NSE:AVROIND,48.0,48.0,48.0,48.0,4000.0,0.0,6.904226863954259
42,2020-09-28,NSE:AVROIND,47.0,47.0,47.0,47.0,2000.0,-2.083333333333333,0.0
43,2020-10-05,NSE:AVROIND,47.0,47.0,47.0,47.0,2000.0,0.0,-2.083333333333333
44,2020-10-07,NSE:AVROIND,48.950001,49.0,48.950001,49.0,4000.0,4.25531914893617,0.0
45,2020-10-12,NSE:AVROIND,47.0,47.0,47.0,47.0,2000.0,-4.081632653061225,4.25531914893617
46,2020-10-27,NSE:AVROIND,43.0,43.0,41.0,41.0,8000.0,-12.76595744680851,-4.081632653061225
47,2020-11-17,NSE:AVROIND,39.5,39.5,39.5,39.5,2000.0,-3.6585365853658534,-12.76595744680851
48,2020-11-18,NSE:AVROIND,42.0,42.0,42.0,42.0,2000.0,6.329113924050633,-3.6585365853658534
49,2020-11-19,NSE:AVROIND,43.0,43.950001,43.0,43.650002,6000.0,3.928576190476192,6.329113924050633
