,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2006-11-21,NSE:BBL,1198.0,1198.0,1085.0,1143.25,361.0,,
1,2006-11-22,NSE:BBL,1163.0,1195.0,1145.0,1170.9,1312.0,2.4185436256286983,
2,2006-11-23,NSE:BBL,1200.0,1220.0,1180.0,1199.8,4956.0,2.468186864804839,2.4185436256286983
3,2006-11-24,NSE:BBL,1200.0,1210.0,1162.3,1170.8,667.0,-2.417069511585264,2.468186864804839
4,2006-11-27,NSE:BBL,1162.3,1190.0,1151.0,1157.4,492.0,-1.144516569866746,-2.417069511585264
5,2006-11-28,NSE:BBL,1151.0,1155.0,1101.0,1116.9,1916.0,-3.499222395023328,-1.144516569866746
6,2006-11-29,NSE:BBL,1110.1,1160.0,1110.0,1122.85,933.0,0.5327245053272287,-3.499222395023328
7,2006-11-30,NSE:BBL,1092.0,1125.0,1092.0,1116.55,2058.0,-0.5610722714521045,0.5327245053272287
8,2006-12-01,NSE:BBL,1075.0,1232.0,1072.0,1216.95,4638.0,8.991984237159114,-0.5610722714521045
9,2006-12-04,NSE:BBL,1210.0,1238.0,1171.55,1189.65,1347.0,-2.2433132010353716,8.991984237159114
10,2006-12-05,NSE:BBL,1108.0,1280.0,1108.0,1225.55,2858.0,3.0176942798301907,-2.2433132010353716
11,2006-12-06,NSE:BBL,1207.35,1207.35,1207.35,1207.35,1710.0,-1.4850475296805554,3.0176942798301907
12,2006-12-07,NSE:BBL,1209.55,1209.55,1209.55,1209.55,1669.0,0.1822172526607898,-1.4850475296805554
13,2006-12-08,NSE:BBL,1200.0,1216.0,1192.05,1199.8,1760.0,-0.8060849076102683,0.1822172526607898
14,2006-12-11,NSE:BBL,1195.0,1200.0,1150.0,1164.25,1036.0,-2.9629938323053806,-0.8060849076102683
15,2006-12-12,NSE:BBL,1163.0,1195.0,1060.05,1075.85,2845.0,-7.59287094696157,-2.9629938323053806
16,2006-12-13,NSE:BBL,1080.0,1140.0,998.0,1118.7,2571.0,3.9828972440396098,-7.59287094696157
17,2006-12-14,NSE:BBL,1140.0,1154.95,1122.0,1146.2,43625.0,2.4582104228121926,3.9828972440396098
18,2006-12-15,NSE:BBL,1155.0,1224.0,1155.0,1210.75,6260.0,5.631652416681203,2.4582104228121926
19,2006-12-18,NSE:BBL,1201.0,1224.0,1028.85,1199.75,3369.0,-0.9085277720421228,5.631652416681203
20,2006-12-19,NSE:BBL,1206.0,1206.0,1150.0,1166.8,1102.0,-2.746405501146076,-0.9085277720421228
21,2006-12-20,NSE:BBL,1188.0,1190.0,1151.0,1160.7,455.0,-0.5227973945834684,-2.746405501146076
22,2006-12-21,NSE:BBL,1161.0,1180.0,1145.0,1158.65,1042.0,-0.17661755836994525,-0.5227973945834684
23,2006-12-22,NSE:BBL,1180.0,1184.0,1162.0,1176.6,1662.0,1.5492167608854974,-0.17661755836994525
24,2006-12-26,NSE:BBL,1198.7,1228.5,1177.0,1209.35,2311.0,2.7834438211796706,1.5492167608854974
25,2006-12-27,NSE:BBL,1205.0,1229.0,1185.0,1223.75,4244.0,1.1907222888328517,2.7834438211796706
26,2006-12-28,NSE:BBL,1203.05,1218.0,1190.3,1211.95,745.0,-0.9642492339121514,1.1907222888328517
27,2006-12-29,NSE:BBL,1201.0,1225.0,1190.0,1213.55,3434.0,0.13201864763397078,-0.9642492339121514
28,2007-01-02,NSE:BBL,1224.0,1236.5,1221.0,1227.55,1313.0,1.1536401466771045,0.13201864763397078
29,2007-01-03,NSE:BBL,1239.5,1248.0,1200.0,1233.35,1769.0,0.4724858457903918,1.1536401466771045
30,2007-01-04,NSE:BBL,1228.0,1244.5,1191.0,1201.2,934.0,-2.6067215307901135,0.4724858457903918
31,2007-01-05,NSE:BBL,1200.0,1235.0,1195.0,1225.9,1466.0,2.05627705627706,-2.6067215307901135
32,2007-01-08,NSE:BBL,1231.8,1231.8,1200.05,1204.4,545.0,-1.7538135247573212,2.05627705627706
33,2007-01-09,NSE:BBL,1210.0,1219.0,1150.0,1195.5,1021.0,-0.7389571570906751,-1.7538135247573212
34,2007-01-10,NSE:BBL,1176.15,1214.0,1176.15,1191.0,1579.0,-0.37641154328732745,-0.7389571570906751
