,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2016-09-02,NSE:BIGBLOC,6.0,6.3,5.72,6.3,142930.0,,
1,2016-09-06,NSE:BIGBLOC,6.4,6.4,6.4,6.4,9200.0,1.5873015873015959,
2,2016-09-07,NSE:BIGBLOC,6.7199996,6.7199996,6.7199996,6.7199996,5800.0,4.999993750000001,1.5873015873015959
3,2016-09-08,NSE:BIGBLOC,6.7400002,7.05,6.7400002,7.05,8945.0,4.910720530400023,4.999993750000001
4,2016-09-09,NSE:BIGBLOC,7.2099998,7.4,7.2,7.4,36010.0,4.964539007092206,4.910720530400023
5,2016-09-12,NSE:BIGBLOC,7.5,7.7699996,7.0300004,7.2199996,67840.0,-2.432437837837837,4.964539007092206
6,2016-09-14,NSE:BIGBLOC,7.5,7.5,6.8599998,7.3,41925.0,1.1080388425506202,-2.432437837837837
7,2016-09-15,NSE:BIGBLOC,7.2599998,7.2599998,6.9199996,7.2400002,14015.0,-0.8219150684931499,1.1080388425506202
8,2016-09-16,NSE:BIGBLOC,7.1,7.2,7.0199996,7.1099998,8660.0,-1.7955855857573062,-0.8219150684931499
9,2016-09-19,NSE:BIGBLOC,7.2,7.3,7.2,7.2,43760.0,1.2658256333565638,-1.7955855857573062
10,2016-09-20,NSE:BIGBLOC,7.5,8.6400002,7.2,8.6400002,478770.0,20.000002777777766,1.2658256333565638
11,2016-09-21,NSE:BIGBLOC,8.9,10.3,8.4,9.6,995030.0,11.111108539094714,20.000002777777766
12,2016-09-22,NSE:BIGBLOC,9.2,9.7,9.0,9.0900002,304315.0,-5.312497916666659,11.111108539094714
13,2016-09-23,NSE:BIGBLOC,9.0099998,9.35,8.5,8.9400002,128830.0,-1.6501649801943938,-5.312497916666659
14,2016-09-26,NSE:BIGBLOC,8.7300004,10.7199996,8.7300004,10.7,1452940.0,19.68679821729757,-1.6501649801943938
15,2016-09-27,NSE:BIGBLOC,10.65,10.6900002,9.6300004,9.6400002,770480.0,-9.906540186915889,19.68679821729757
16,2016-09-28,NSE:BIGBLOC,9.6,9.9699996,9.2,9.2199996,224265.0,-4.356852606704301,-9.906540186915889
17,2016-09-29,NSE:BIGBLOC,9.2099998,9.3900002,8.3,8.5199996,233395.0,-7.592191218750154,-4.356852606704301
18,2016-09-30,NSE:BIGBLOC,8.35,9.35,7.9300004,9.1400002,330860.0,7.277002689061149,-7.592191218750154
19,2016-10-03,NSE:BIGBLOC,9.1,9.7599998,8.7300004,9.2099998,145980.0,0.765859939477911,7.277002689061149
20,2016-10-04,NSE:BIGBLOC,9.3,9.4,9.1,9.2099998,169840.0,0.0,0.765859939477911
21,2016-10-05,NSE:BIGBLOC,9.2,10.1,9.2,10.0400002,298890.0,9.011948078435347,0.0
22,2016-10-06,NSE:BIGBLOC,10.1400002,10.3800004,10.0,10.0599998,256705.0,0.19919919921914173,9.011948078435347
23,2016-10-07,NSE:BIGBLOC,10.1,10.8199996,10.0,10.4199996,279475.0,3.5785269101098853,0.19919919921914173
24,2016-10-10,NSE:BIGBLOC,10.6,11.3,10.6,11.0,255320.0,5.566222862426976,3.5785269101098853
25,2016-10-13,NSE:BIGBLOC,11.1199996,12.0,11.0,11.7699996,386915.0,6.999996363636366,5.566222862426976
26,2016-10-14,NSE:BIGBLOC,12.0300004,12.35,12.0,12.2300004,330200.0,3.908248221180904,6.999996363636366
27,2016-10-17,NSE:BIGBLOC,12.4,12.8399994,12.1199996,12.8300004,514320.0,4.905968768406579,3.908248221180904
28,2016-10-18,NSE:BIGBLOC,12.9,13.3899994,12.4,13.2800004,488220.0,3.507404411304625,4.905968768406579
29,2016-10-19,NSE:BIGBLOC,13.3,13.8,13.1,13.7399994,522110.0,3.463847787233499,3.507404411304625
30,2016-10-20,NSE:BIGBLOC,13.7399994,14.1,13.7,13.9300004,301830.0,1.3828312103128662,3.463847787233499
31,2016-10-21,NSE:BIGBLOC,14.2800004,14.5199996,13.75,14.4100006,374710.0,3.445801767529017,1.3828312103128662
32,2016-10-24,NSE:BIGBLOC,14.7800004,14.9,14.3199996,14.4,749095.0,-0.06940041348783631,3.445801767529017
33,2016-10-25,NSE:BIGBLOC,14.5,14.8800004,13.7199996,14.1399994,943930.0,-1.8055597222222202,-0.06940041348783631
34,2016-10-26,NSE:BIGBLOC,14.2,14.5300004,13.8,13.9100006,290880.0,-1.626582813009176,-1.8055597222222202
35,2016-10-27,NSE:BIGBLOC,14.0800004,14.0800004,13.5,13.5899994,400950.0,-2.30051176273853,-1.626582813009176
36,2016-10-28,NSE:BIGBLOC,13.4,13.6,12.9199996,12.9199996,166920.0,-4.930094404566342,-2.30051176273853
37,2016-11-01,NSE:BIGBLOC,11.6699996,11.6699996,11.6699996,11.6699996,6845.0,-9.674922900152412,-4.930094404566342
38,2016-11-02,NSE:BIGBLOC,11.0900002,11.0900002,11.0900002,11.0900002,8625.0,-4.970003597943569,-9.674922900152412
39,2016-11-03,NSE:BIGBLOC,10.5400002,10.5400002,10.5400002,10.5400002,41280.0,-4.959422814077142,-4.970003597943569
40,2016-11-04,NSE:BIGBLOC,10.6,10.6,10.0199996,10.0199996,1945.0,-4.933591936743982,-4.959422814077142
41,2016-11-07,NSE:BIGBLOC,9.6,10.2,9.4800004,9.6099998,520245.0,-4.091814534603371,-4.933591936743982
42,2016-11-08,NSE:BIGBLOC,9.15,10.0900002,9.15,10.0900002,138445.0,4.994801352649349,-4.091814534603371
43,2016-11-09,NSE:BIGBLOC,9.5900002,9.5900002,9.5900002,9.5900002,3700.0,-4.955401289288379,4.994801352649349
44,2016-11-10,NSE:BIGBLOC,9.1199996,9.5900002,9.1199996,9.1199996,170835.0,-4.900944631888543,-4.955401289288379
45,2016-11-11,NSE:BIGBLOC,9.0,9.0,8.6699996,8.6699996,8560.0,-4.934210742728533,-4.900944631888543
