,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2015-03-30,NSE:BKMINDST,18.799999,18.799999,17.9,17.9,9600.0,,
1,2015-03-31,NSE:BKMINDST,17.049999,17.049999,17.049999,17.049999,4201.0,-4.74860893854748,
2,2015-04-01,NSE:BKMINDST,16.200001,16.200001,16.200001,16.200001,4000.0,-4.985325805590953,-4.74860893854748
3,2015-04-07,NSE:BKMINDST,15.4,15.4,15.4,15.4,1.0,-4.938277472945835,-4.985325805590953
4,2015-04-08,NSE:BKMINDST,14.65,14.65,14.65,14.65,1726.0,-4.870129870129871,-4.938277472945835
5,2015-04-09,NSE:BKMINDST,13.95,13.95,13.95,13.95,3035.0,-4.778156996587038,-4.870129870129871
6,2015-04-10,NSE:BKMINDST,13.3,13.3,13.3,13.3,851.0,-4.659498207885295,-4.778156996587038
7,2015-04-13,NSE:BKMINDST,12.65,13.95,12.65,13.85,30996.0,4.135338345864653,-4.659498207885295
8,2015-04-15,NSE:BKMINDST,13.2,14.5,13.2,13.2,3812.0,-4.6931407942238295,4.135338345864653
9,2015-04-16,NSE:BKMINDST,10.8,14.5,10.8,12.25,2645.0,-7.196969696969692,-4.6931407942238295
10,2015-04-17,NSE:BKMINDST,11.1,14.7,11.1,13.4,18741.0,9.387755102040819,-7.196969696969692
11,2015-04-20,NSE:BKMINDST,12.6,13.3,10.75,10.95,11051.0,-18.283582089552247,9.387755102040819
12,2015-04-21,NSE:BKMINDST,10.25,11.65,9.55,10.4,6415.0,-5.022831050228302,-18.283582089552247
13,2015-04-22,NSE:BKMINDST,11.6,12.45,11.0,12.2,34809.0,17.307692307692296,-5.022831050228302
14,2015-04-23,NSE:BKMINDST,12.85,12.85,10.0,10.2,12543.0,-16.393442622950822,17.307692307692296
15,2015-04-24,NSE:BKMINDST,10.0,10.4,8.6,8.8,14611.0,-13.725490196078418,-16.393442622950822
16,2015-04-27,NSE:BKMINDST,9.5,9.65,8.05,8.1,22554.0,-7.954545454545466,-13.725490196078418
17,2015-04-28,NSE:BKMINDST,8.1,8.9,7.55,8.35,22262.0,3.08641975308642,-7.954545454545466
18,2015-04-29,NSE:BKMINDST,8.9,9.15,8.5,8.65,18648.0,3.592814371257494,3.08641975308642
19,2015-04-30,NSE:BKMINDST,8.5,9.45,8.5,8.9,2846.0,2.8901734104046244,3.592814371257494
20,2015-05-04,NSE:BKMINDST,8.55,9.0,8.5,8.5,1789.0,-4.494382022471914,2.8901734104046244
21,2015-05-05,NSE:BKMINDST,8.5,9.35,8.2,8.55,3116.0,0.5882352941176554,-4.494382022471914
22,2015-05-06,NSE:BKMINDST,8.55,9.2,7.7,7.7,11185.0,-9.941520467836263,0.5882352941176554
23,2015-05-07,NSE:BKMINDST,7.95,7.95,6.95,6.95,11371.0,-9.740259740259742,-9.941520467836263
24,2015-05-08,NSE:BKMINDST,7.45,7.45,6.5,6.55,13834.0,-5.7553956834532425,-9.740259740259742
25,2015-05-11,NSE:BKMINDST,6.5,6.85,6.25,6.35,13414.0,-3.0534351145038197,-5.7553956834532425
26,2015-05-12,NSE:BKMINDST,6.35,6.65,6.05,6.15,28177.0,-3.1496062992125875,-3.0534351145038197
27,2015-05-13,NSE:BKMINDST,6.25,6.3,5.85,5.85,10040.0,-4.878048780487816,-3.1496062992125875
28,2015-05-14,NSE:BKMINDST,5.8,6.0,5.6,5.6,14617.0,-4.273504273504273,-4.878048780487816
29,2015-05-15,NSE:BKMINDST,5.45,5.45,5.35,5.35,9655.0,-4.464285714285714,-4.273504273504273
30,2015-05-18,NSE:BKMINDST,5.25,5.25,5.1,5.1,706.0,-4.672897196261683,-4.464285714285714
31,2015-05-19,NSE:BKMINDST,5.35,5.35,5.3,5.3,14917.0,3.921568627450984,-4.672897196261683
32,2015-05-20,NSE:BKMINDST,5.1,5.55,5.05,5.5,29160.0,3.7735849056603805,3.921568627450984
33,2015-05-21,NSE:BKMINDST,5.75,5.75,5.75,5.75,1000.0,4.545454545454546,3.7735849056603805
34,2015-05-22,NSE:BKMINDST,6.0,6.0,5.65,5.9,1923.0,2.6086956521739193,4.545454545454546
35,2015-05-25,NSE:BKMINDST,6.15,6.15,5.65,5.9,2205.0,0.0,2.6086956521739193
36,2015-05-26,NSE:BKMINDST,5.65,5.8,5.65,5.8,710.0,-1.6949152542372972,0.0
37,2015-05-27,NSE:BKMINDST,5.55,5.8,5.55,5.75,1749.0,-0.8620689655172384,-1.6949152542372972
