,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-02-03,NSE:DUCOL,116.0,119.0,114.1,117.0,46400.0,,
1,2023-02-06,NSE:DUCOL,121.8,121.8,114.05,114.05,28800.0,-2.521367521367524,
2,2023-02-07,NSE:DUCOL,116.9,116.9,110.0,110.0,33600.0,-3.5510740903112645,-2.521367521367524
3,2023-02-08,NSE:DUCOL,110.0,110.95,106.1,109.5,25600.0,-0.45454545454545453,-3.5510740903112645
4,2023-02-09,NSE:DUCOL,107.0,116.0,107.0,112.05,88000.0,2.3287671232876686,-0.45454545454545453
5,2023-02-10,NSE:DUCOL,112.0,112.0,110.1,111.05,16000.0,-0.892458723784025,2.3287671232876686
6,2023-02-13,NSE:DUCOL,109.0,111.0,109.0,110.5,11200.0,-0.49527239981989835,-0.892458723784025
7,2023-02-14,NSE:DUCOL,108.55,109.0,107.0,107.0,8000.0,-3.167420814479638,-0.49527239981989835
8,2023-02-15,NSE:DUCOL,107.0,109.0,107.0,107.0,16000.0,0.0,-3.167420814479638
9,2023-02-16,NSE:DUCOL,108.0,108.0,107.0,107.0,3200.0,0.0,0.0
10,2023-02-17,NSE:DUCOL,108.0,108.0,107.0,107.0,14400.0,0.0,0.0
11,2023-02-20,NSE:DUCOL,102.7,109.0,102.7,106.25,6400.0,-0.7009345794392523,0.0
12,2023-02-21,NSE:DUCOL,104.0,110.0,104.0,106.4,33600.0,0.14117647058824065,-0.7009345794392523
13,2023-02-22,NSE:DUCOL,108.9,115.8,108.9,114.2,131200.0,7.33082706766917,0.14117647058824065
14,2023-02-23,NSE:DUCOL,113.0,116.4,110.0,110.0,48000.0,-3.6777583187390563,7.33082706766917
15,2023-02-24,NSE:DUCOL,110.5,115.55,110.5,114.95,38400.0,4.500000000000003,-3.6777583187390563
16,2023-02-27,NSE:DUCOL,118.6,118.8,110.0,110.0,32000.0,-4.306220095693782,4.500000000000003
17,2023-02-28,NSE:DUCOL,114.0,114.0,107.5,107.7,16000.0,-2.0909090909090886,-4.306220095693782
18,2023-03-01,NSE:DUCOL,108.0,109.9,108.0,109.55,11200.0,1.717734447539456,-2.0909090909090886
19,2023-03-02,NSE:DUCOL,109.0,109.5,108.5,109.5,12800.0,-0.04564125969876509,1.717734447539456
20,2023-03-03,NSE:DUCOL,112.5,114.95,112.5,113.6,40000.0,3.744292237442917,-0.04564125969876509
21,2023-03-06,NSE:DUCOL,111.25,113.0,111.25,112.5,11200.0,-0.9683098591549246,3.744292237442917
22,2023-03-08,NSE:DUCOL,109.0,111.0,108.4,109.0,11200.0,-3.111111111111111,-0.9683098591549246
23,2023-03-10,NSE:DUCOL,107.8,110.95,102.0,103.7,60800.0,-4.8623853211009145,-3.111111111111111
