,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-04-12,NSE:E2E,136.7,136.7,136.7,136.7,47708.0,,
1,2022-04-13,NSE:E2E,143.5,143.5,143.5,143.5,5450.0,4.974396488661311,
2,2022-04-18,NSE:E2E,150.64999,150.64999,150.64999,150.64999,7351.0,4.982571428571431,4.974396488661311
3,2022-04-19,NSE:E2E,158.14999,158.14999,153.75,157.95,34420.0,4.845675728222741,4.982571428571431
4,2022-04-20,NSE:E2E,161.10001,165.8,150.10001,161.75,35282.0,2.4058246280468576,4.845675728222741
5,2022-04-21,NSE:E2E,169.0,169.0,154.10001,160.89999,13783.0,-0.525508500772796,2.4058246280468576
6,2022-04-22,NSE:E2E,160.89999,168.0,155.10001,157.8,10084.0,-1.9266564280084737,-0.525508500772796
7,2022-04-25,NSE:E2E,164.0,164.0,150.14999,152.10001,10525.0,-3.612160963244622,-1.9266564280084737
8,2022-04-26,NSE:E2E,152.05,152.05,144.5,144.55,9812.0,-4.963845827492047,-3.612160963244622
9,2022-04-27,NSE:E2E,149.05,149.05,137.5,140.64999,6519.0,-2.69803528190938,-4.963845827492047
10,2022-04-28,NSE:E2E,146.95,147.64999,138.05,145.0,4352.0,3.092790834894476,-2.69803528190938
11,2022-04-29,NSE:E2E,152.2,152.2,137.89999,151.0,8000.0,4.137931034482759,3.092790834894476
12,2022-05-02,NSE:E2E,158.5,158.5,145.2,151.39999,3509.0,0.264894039735101,4.137931034482759
13,2022-05-04,NSE:E2E,156.14999,158.5,145.10001,157.35001,10117.0,3.9300002595772923,0.264894039735101
14,2022-05-05,NSE:E2E,160.0,165.0,156.05,156.95,5714.0,-0.2542166981749851,3.9300002595772923
15,2022-05-06,NSE:E2E,157.05,159.45,149.7,150.10001,4579.0,-4.364440904746729,-0.2542166981749851
16,2022-05-09,NSE:E2E,148.55,148.55,142.60001,144.45,5371.0,-3.764163639962455,-4.364440904746729
17,2022-05-10,NSE:E2E,151.60001,151.60001,141.64999,146.85001,1515.0,1.6614814814814878,-3.764163639962455
18,2022-05-11,NSE:E2E,146.85001,148.95,139.55,139.55,3422.0,-4.971065374799761,1.6614814814814878
19,2022-05-12,NSE:E2E,132.60001,132.60001,132.60001,132.60001,3115.0,-4.980286635614484,-4.971065374799761
20,2022-05-13,NSE:E2E,130.0,137.39999,126.0,126.65,3586.0,-4.487186690257408,-4.980286635614484
21,2022-05-16,NSE:E2E,130.64999,132.89999,120.5,125.85,3938.0,-0.6316620607974822,-4.487186690257408
22,2022-05-17,NSE:E2E,129.64999,132.10001,120.05,132.10001,2682.0,4.966237584425906,-0.6316620607974822
23,2022-05-18,NSE:E2E,128.05,138.55,125.5,131.05,3940.0,-0.7948598944087787,4.966237584425906
24,2022-05-19,NSE:E2E,131.45,132.89999,125.1,130.95,3146.0,-0.07630675314767091,-0.7948598944087787
25,2022-05-20,NSE:E2E,131.05,135.5,125.5,130.7,1950.0,-0.19091256204658266,-0.07630675314767091
26,2022-05-23,NSE:E2E,136.0,136.0,126.15,133.5,337.0,2.14231063504209,-0.19091256204658266
27,2022-05-24,NSE:E2E,136.95,136.95,127.0,128.45,875.0,-3.7827715355805327,2.14231063504209
28,2022-05-25,NSE:E2E,124.75,124.8,122.05,122.05,3523.0,-4.982483456597891,-3.7827715355805327
29,2022-05-26,NSE:E2E,117.95,118.0,115.95,115.95,4926.0,-4.997951659156079,-4.982483456597891
30,2022-05-27,NSE:E2E,114.8,121.0,110.2,116.5,11755.0,0.4743423889607565,-4.997951659156079
31,2022-05-30,NSE:E2E,112.0,122.0,111.9,121.85,793.0,4.5922746781115835,0.4743423889607565
32,2022-05-31,NSE:E2E,121.95,127.6,117.65,118.2,828.0,-2.995486253590473,4.5922746781115835
33,2022-06-01,NSE:E2E,122.0,122.0,113.25,119.65,1651.0,1.2267343485617621,-2.995486253590473
34,2022-06-02,NSE:E2E,115.2,121.6,115.2,120.5,533.0,0.7104053489343872,1.2267343485617621
35,2022-06-03,NSE:E2E,115.2,119.9,114.5,114.65,2875.0,-4.85477178423236,0.7104053489343872
36,2022-06-06,NSE:E2E,111.05,119.5,110.5,117.4,1702.0,2.398604448320977,-4.85477178423236
37,2022-06-07,NSE:E2E,128.0,128.0,112.8,119.45,3988.0,1.7461669505962496,2.398604448320977
38,2022-06-08,NSE:E2E,129.95,129.95,115.0,118.25,2453.0,-1.0046044370029323,1.7461669505962496
39,2022-06-09,NSE:E2E,130.0,130.0,115.0,119.65,12216.0,1.1839323467230494,-1.0046044370029323
40,2022-06-10,NSE:E2E,119.65,122.0,116.9,120.35,594.0,0.5850396991224309,1.1839323467230494
41,2022-06-13,NSE:E2E,115.65,115.65,108.65,111.65,1390.0,-7.228915662650594,0.5850396991224309
42,2022-06-14,NSE:E2E,111.15,111.65,103.0,104.15,7194.0,-6.717420510523958,-7.228915662650594
43,2022-06-15,NSE:E2E,107.3,114.0,94.349998,109.6,8184.0,5.232837253960622,-6.717420510523958
44,2022-06-16,NSE:E2E,120.55,120.55,102.0,104.8,6917.0,-4.379562043795618,5.232837253960622
45,2022-06-17,NSE:E2E,114.45,114.45,96.349998,98.550003,6679.0,-5.9637375954198415,-4.379562043795618
46,2022-06-20,NSE:E2E,99.0,103.75,97.0,98.699997,2218.0,0.15220090860879265,-5.9637375954198415
47,2022-06-21,NSE:E2E,96.75,101.95,96.75,101.95,2219.0,3.2928096238949296,0.15220090860879265
