,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2005-04-21,NSE:IGARASHI,143.26858703,153.05712404,142.37872003,150.92145214,44699.93829448,,
1,2005-04-22,NSE:IGARASHI,150.38752304,154.03598664,146.82805504,150.65448314,10321.76718292,-0.1768926790820748,
2,2005-04-25,NSE:IGARASHI,151.27739004,152.87915064,147.71792204,151.36638564,11105.03029957,0.47253987081051685,-0.1768926790820748
3,2005-04-26,NSE:IGARASHI,151.27739004,152.79016394,151.27739004,151.54435014,5612.07461203,0.11757200863820641,0.47253987081051685
4,2005-04-27,NSE:IGARASHI,158.39632604,165.87119994,152.16725704,159.06372629,34778.23089568,4.961832059759031,0.11757200863820641
5,2005-04-28,NSE:IGARASHI,166.40512904,168.00688964,156.08266294,159.68663319,8314.7256817,0.3916083915099156,4.961832059759031
6,2005-04-29,NSE:IGARASHI,167.29499604,167.29499604,151.63332794,155.77121839,6157.09987972,-2.4519364719408467,0.3916083915099156
7,2005-05-02,NSE:IGARASHI,158.39632604,158.39632604,153.05712404,155.10381814,10023.9698717,-0.42844901445725553,-2.4519364719408467
8,2005-05-03,NSE:IGARASHI,157.06152554,157.50645904,155.72672504,155.72672504,3959.01859395,0.40160642559924276,-0.42844901445725553
9,2005-05-04,NSE:IGARASHI,156.61659204,157.95139254,155.72672504,156.08266294,8013.55708017,0.22856571337295423,0.40160642559924276
10,2005-05-05,NSE:IGARASHI,156.61659204,164.62539504,156.61659204,158.70778839,15697.85147285,1.6818815110869252,0.22856571337295423
11,2005-05-06,NSE:IGARASHI,160.17606004,163.73552804,157.50645904,159.59765539,8711.4141755,0.5606952305411114,1.6818815110869252
12,2005-05-09,NSE:IGARASHI,160.17606004,163.20159894,158.61879279,159.41966419,6423.43181465,-0.1115249466322427,0.5606952305411114
13,2005-05-10,NSE:IGARASHI,155.81572064,160.17606004,155.81572064,157.72892579,2703.77483311,-1.0605582495675854,-0.1115249466322427
14,2005-05-11,NSE:IGARASHI,151.27739004,159.99808664,151.27739004,158.12936594,2280.11601678,0.2538787023333652,-1.0605582495675854
15,2005-05-12,NSE:IGARASHI,158.39632604,189.7641378,158.39632604,189.7641378,122828.46759497,20.005627463277975,0.2538787023333652
16,2005-05-13,NSE:IGARASHI,194.88087305,199.33020805,178.24036014,180.46502764,96939.20549807,-4.900351703861296,20.005627463277975
17,2005-05-16,NSE:IGARASHI,186.87207005,188.65180405,174.50292764,177.39499539,25722.94510799,-1.7011784998721413,-4.900351703861296
18,2005-05-17,NSE:IGARASHI,180.90996114,184.91436265,175.30379904,176.59410619,27640.08553413,-0.45147226292334713,-1.7011784998721413
19,2005-05-18,NSE:IGARASHI,175.74873254,195.77074005,174.85886554,183.04564194,55181.27988567,3.653313176295199,-0.45147226292334713
20,2005-05-19,NSE:IGARASHI,186.78307445,210.00861205,186.42713655,194.9253664,158482.11020927,6.490034034185871,3.653313176295199
21,2005-05-20,NSE:IGARASHI,201.73284895,206.44914405,195.05884645,197.6839452,49849.02236983,1.415197442460731,6.490034034185871
22,2005-05-23,NSE:IGARASHI,200.84298195,200.84298195,191.4548762,193.36809915,9382.3009483,-2.183205138704407,1.415197442460731
23,2005-05-24,NSE:IGARASHI,198.44034105,202.44474255,191.32140505,192.21127205,26235.38123596,-0.5982512653768387,-2.183205138704407
24,2005-05-25,NSE:IGARASHI,195.77074005,197.46147845,189.54167105,191.2769117,11724.2239542,-0.4861111109846545,-0.5982512653768387
25,2005-05-26,NSE:IGARASHI,193.81303265,201.8663379,179.30820054,182.86766854,32966.72423277,-4.396371253206504,-0.4861111109846545
