,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-11-29,NSE:IREDA,50.0,60.0,50.0,60.0,579810950.0,,
1,2023-11-30,NSE:IREDA,64.300003,68.900002,60.549999,65.300003,391471910.0,8.833338333333339,
2,2023-12-01,NSE:IREDA,67.0,68.400002,62.299999,62.75,144125388.0,-3.905058013550174,8.833338333333339
3,2023-12-04,NSE:IREDA,64.900002,65.900002,63.150002,64.550003,59388902.0,2.8685306772908428,-3.905058013550174
4,2023-12-05,NSE:IREDA,64.900002,65.0,62.849998,63.049999,36397214.0,-2.3237861042392267,2.8685306772908428
5,2023-12-06,NSE:IREDA,63.5,64.949997,61.5,64.150002,47249714.0,1.7446518912712448,-2.3237861042392267
6,2023-12-07,NSE:IREDA,64.150002,64.849998,63.450001,64.199997,23388127.0,0.07793452601918169,1.7446518912712448
7,2023-12-08,NSE:IREDA,64.199997,73.699997,64.199997,70.849998,232352550.0,10.358257493376524,0.07793452601918169
8,2023-12-11,NSE:IREDA,74.0,85.0,73.400002,85.0,193564938.0,19.971774734559627,10.358257493376524
9,2023-12-12,NSE:IREDA,94.0,102.0,92.550003,101.85,352556080.0,19.8235294117647,19.971774734559627
10,2023-12-13,NSE:IREDA,104.6,112.0,98.900002,112.0,200767357.0,9.96563573883162,19.8235294117647
11,2023-12-14,NSE:IREDA,121.3,123.2,113.8,120.3,233953872.0,7.410714285714283,9.96563573883162
12,2023-12-15,NSE:IREDA,120.4,121.0,108.3,108.3,107529568.0,-9.975062344139651,7.410714285714283
13,2023-12-18,NSE:IREDA,102.0,114.2,98.300003,110.75,167648627.0,2.2622345337026806,-9.975062344139651
14,2023-12-19,NSE:IREDA,113.0,116.2,111.35,112.45,47989953.0,1.5349887133182871,2.2622345337026806
15,2023-12-20,NSE:IREDA,114.0,114.7,103.3,104.95,54934849.0,-6.669630947087595,1.5349887133182871
16,2023-12-21,NSE:IREDA,102.0,111.25,100.0,109.9,50301973.0,4.716531681753219,-6.669630947087595
17,2023-12-22,NSE:IREDA,111.3,111.8,108.25,109.85,25157149.0,-0.04549590536852718,4.716531681753219
18,2023-12-26,NSE:IREDA,103.85,105.75,100.35,101.95,98548301.0,-7.191624943104226,-0.04549590536852718
19,2023-12-27,NSE:IREDA,104.0,104.35,97.349998,99.800003,55795339.0,-2.108873957822461,-7.191624943104226
20,2023-12-28,NSE:IREDA,99.849998,100.7,95.550003,97.300003,51912306.0,-2.50500994473918,-2.108873957822461
21,2023-12-29,NSE:IREDA,97.5,105.65,96.0,102.8,85731200.0,5.652617503002536,-2.50500994473918
22,2024-01-01,NSE:IREDA,103.35,107.55,102.1,104.65,49275011.0,1.7996108949416425,5.652617503002536
23,2024-01-02,NSE:IREDA,105.3,105.4,101.75,103.5,23688907.0,-1.098901098901104,1.7996108949416425
24,2024-01-03,NSE:IREDA,103.5,103.55,100.2,101.8,24148229.0,-1.6425120772946888,-1.098901098901104
25,2024-01-04,NSE:IREDA,102.7,106.25,102.45,104.4,37518306.0,2.5540275049115997,-1.6425120772946888
26,2024-01-05,NSE:IREDA,105.0,107.25,104.0,105.1,32759854.0,0.6704980842911769,2.5540275049115997
27,2024-01-08,NSE:IREDA,105.8,106.3,103.15,103.9,22377695.0,-1.141769743101797,0.6704980842911769
28,2024-01-09,NSE:IREDA,104.7,104.85,102.6,103.3,14941191.0,-0.5774783445620871,-1.141769743101797
29,2024-01-10,NSE:IREDA,103.5,103.8,101.2,102.8,14828774.0,-0.48402710551790895,-0.5774783445620871
30,2024-01-11,NSE:IREDA,103.4,106.4,103.0,103.4,19177567.0,0.5836575875486465,-0.48402710551790895
31,2024-01-12,NSE:IREDA,104.3,112.5,103.8,110.75,82669666.0,7.108317214700187,0.5836575875486465
32,2024-01-15,NSE:IREDA,111.6,121.8,111.6,121.8,165494007.0,9.977426636568847,7.108317214700187
33,2024-01-16,NSE:IREDA,125.0,127.4,116.75,119.5,109786020.0,-1.888341543513955,9.977426636568847
34,2024-01-17,NSE:IREDA,118.55,125.6,114.3,124.2,81578431.0,3.9330543933054414,-1.888341543513955
35,2024-01-18,NSE:IREDA,125.0,126.4,116.0,123.05,55701971.0,-0.9259259259259306,3.9330543933054414
36,2024-01-19,NSE:IREDA,124.2,135.35001,123.7,135.35001,111113228.0,9.995944737911419,-0.9259259259259306
37,2024-01-20,NSE:IREDA,141.0,148.85001,141.0,148.85001,64465781.0,9.974140378711462,9.995944737911419
38,2024-01-23,NSE:IREDA,156.25,156.25,144.10001,154.05,120793026.0,3.4934428287912196,9.974140378711462
39,2024-01-24,NSE:IREDA,157.5,161.75,148.55,161.75,73799763.0,4.998377150275877,3.4934428287912196
40,2024-01-25,NSE:IREDA,167.0,169.8,166.0,169.8,9149447.0,4.976816074188569,4.998377150275877
41,2024-01-29,NSE:IREDA,177.8,178.25,175.89999,178.25,7515722.0,4.9764428739693685,4.976816074188569
42,2024-01-30,NSE:IREDA,184.8,187.14999,169.39999,173.14999,100689188.0,-2.8611556802244023,4.9764428739693685
43,2024-01-31,NSE:IREDA,174.89999,181.8,169.60001,181.8,51527355.0,4.995674559380574,-2.8611556802244023
44,2024-02-01,NSE:IREDA,183.0,190.85001,177.8,185.8,119539925.0,2.2002200220022,4.995674559380574
45,2024-02-02,NSE:IREDA,191.39999,195.05,186.3,195.05,59779078.0,4.978471474703983,2.2002200220022
46,2024-02-05,NSE:IREDA,203.89999,204.8,193.2,204.8,27925173.0,4.9987182773647785,4.978471474703983
47,2024-02-06,NSE:IREDA,214.8,214.8,198.05,209.45,71926776.0,2.270507812499989,4.9987182773647785
48,2024-02-07,NSE:IREDA,213.14999,213.14999,199.0,199.0,40621079.0,-4.989257579374548,2.270507812499989
49,2024-02-08,NSE:IREDA,190.0,191.95,189.05,189.05,8349479.0,-4.999999999999994,-4.989257579374548
50,2024-02-09,NSE:IREDA,179.60001,179.60001,179.60001,179.60001,4080213.0,-4.998672308912993,-4.999999999999994
51,2024-02-12,NSE:IREDA,170.64999,170.64999,170.64999,170.64999,3358365.0,-4.983307072198935,-4.998672308912993
52,2024-02-13,NSE:IREDA,162.14999,162.14999,162.14999,162.14999,2750096.0,-4.98095546328482,-4.983307072198935
53,2024-02-14,NSE:IREDA,154.05,170.25,154.05,168.64999,53059961.0,4.0086342280995515,-4.98095546328482
54,2024-02-15,NSE:IREDA,177.05,177.05,177.05,177.05,5249920.0,4.980735545848541,4.0086342280995515
55,2024-02-16,NSE:IREDA,175.0,185.7,171.35001,177.95,74074391.0,0.508330979949154,4.980735545848541
56,2024-02-19,NSE:IREDA,179.0,182.3,173.7,178.35001,24033651.0,0.22478786175892607,0.508330979949154
57,2024-02-20,NSE:IREDA,179.64999,179.8,174.25,175.05,12824200.0,-1.8502998682197922,0.22478786175892607
58,2024-02-21,NSE:IREDA,172.45,176.3,166.3,166.3,30569754.0,-4.998571836618109,-1.8502998682197922
59,2024-02-22,NSE:IREDA,167.0,171.5,160.0,167.8,27560147.0,0.9019843656043294,-4.998571836618109
60,2024-02-23,NSE:IREDA,160.60001,162.05,159.45,159.45,15227080.0,-4.976162097735413,0.9019843656043294
61,2024-02-26,NSE:IREDA,151.5,151.5,151.5,151.5,7605436.0,-4.985888993414857,-4.976162097735413
62,2024-02-27,NSE:IREDA,146.60001,159.05,146.60001,154.89999,154589413.0,2.24421782178218,-4.985888993414857
63,2024-02-28,NSE:IREDA,156.8,158.5,148.10001,149.25,30930219.0,-3.647508305197439,2.24421782178218
64,2024-02-29,NSE:IREDA,149.75,152.60001,141.8,150.05,62619592.0,0.536013400335016,-3.647508305197439
65,2024-03-01,NSE:IREDA,153.45,157.55,150.85001,157.25,24614814.0,4.798400533155607,0.536013400335016
66,2024-03-02,NSE:IREDA,158.7,163.7,157.0,160.89999,14271229.0,2.321138314785375,4.798400533155607
67,2024-03-04,NSE:IREDA,160.8,160.8,152.85001,152.89999,20299727.0,-4.972032627223904,2.321138314785375
68,2024-03-05,NSE:IREDA,151.0,154.25,146.0,146.8,22487081.0,-3.9895293649136216,-4.972032627223904
69,2024-03-06,NSE:IREDA,147.2,149.60001,140.0,141.75,28753729.0,-3.4400544959128143,-3.9895293649136216
70,2024-03-07,NSE:IREDA,142.05,148.8,140.14999,147.95,22757080.0,4.373897707231032,-3.4400544959128143
71,2024-03-11,NSE:IREDA,148.89999,148.89999,140.8,141.10001,17124387.0,-4.62993578911794,4.373897707231032
72,2024-03-12,NSE:IREDA,143.5,143.5,134.05,134.05,32417965.0,-4.996463146955118,-4.62993578911794
73,2024-03-13,NSE:IREDA,133.75,136.5,127.35,127.35,33355997.0,-4.998135024244697,-4.996463146955118
74,2024-03-14,NSE:IREDA,122.55,133.39999,121.05,132.3,64900398.0,3.8869257950530174,-4.998135024244697
75,2024-03-15,NSE:IREDA,130.0,133.39999,126.7,128.75,22010436.0,-2.683295540438406,3.8869257950530174
76,2024-03-18,NSE:IREDA,129.55,135.0,127.8,133.14999,20658376.0,3.417467961165051,-2.683295540438406
77,2024-03-19,NSE:IREDA,132.0,132.8,128.64999,129.35001,12511667.0,-2.8539093393848582,3.417467961165051
78,2024-03-20,NSE:IREDA,128.0,129.89999,124.4,125.8,14062942.0,-2.7444992080016077,-2.8539093393848582
79,2024-03-21,NSE:IREDA,127.25,132.05,126.5,132.05,19716558.0,4.968203497615273,-2.7444992080016077
80,2024-03-22,NSE:IREDA,133.7,138.64999,132.2,138.64999,22898920.0,4.998099204846642,4.968203497615273
81,2024-03-26,NSE:IREDA,141.39999,144.45,139.35001,140.75,21428828.0,1.5146124424531135,4.998099204846642
82,2024-03-27,NSE:IREDA,142.89999,144.39999,135.0,136.0,23110828.0,-3.374777975133215,1.5146124424531135
83,2024-03-28,NSE:IREDA,138.25,139.5,135.5,135.89999,13307678.0,-0.07353676470588051,-3.374777975133215
84,2024-04-01,NSE:IREDA,138.0,142.64999,137.7,142.64999,15806364.0,4.966887782699616,-0.07353676470588051
85,2024-04-02,NSE:IREDA,146.45,149.75,146.45,149.75,7724845.0,4.9772243236750295,4.966887782699616
