,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2011-02-28,NSE:JUBLINDS,192.5,201.64999,185.0,192.35001,11428.0,,
1,2011-03-01,NSE:JUBLINDS,190.05,194.0,188.75,190.89999,38891.0,-0.7538445150067811,
2,2011-03-03,NSE:JUBLINDS,183.35001,197.0,183.35001,189.75,49656.0,-0.6024044317655557,-0.7538445150067811
3,2011-03-04,NSE:JUBLINDS,185.3,190.0,181.95,189.0,16225.0,-0.3952569169960474,-0.6024044317655557
4,2011-03-07,NSE:JUBLINDS,185.05,186.0,176.05,179.45,27040.0,-5.052910052910059,-0.3952569169960474
5,2011-03-08,NSE:JUBLINDS,176.05,195.0,176.05,186.14999,45810.0,3.733624965171365,-5.052910052910059
6,2011-03-09,NSE:JUBLINDS,183.10001,194.7,183.10001,188.85001,26901.0,1.4504540129172152,3.733624965171365
7,2011-03-10,NSE:JUBLINDS,185.05,195.0,185.05,188.64999,15044.0,-0.10591474154541744,1.4504540129172152
8,2011-03-11,NSE:JUBLINDS,181.5,188.0,172.0,177.85001,32860.0,-5.724877059362688,-0.10591474154541744
9,2011-03-14,NSE:JUBLINDS,174.45,176.85001,172.60001,174.64999,14133.0,-1.7992801912128062,-5.724877059362688
10,2011-03-15,NSE:JUBLINDS,171.0,176.25,170.25,172.25,10203.0,-1.3741712782233784,-1.7992801912128062
11,2011-03-16,NSE:JUBLINDS,173.35001,184.89999,173.35001,178.7,51760.0,3.744557329462983,-1.3741712782233784
12,2011-03-17,NSE:JUBLINDS,176.3,179.0,172.35001,174.2,15960.0,-2.518186905428092,3.744557329462983
13,2011-03-18,NSE:JUBLINDS,172.55,177.45,172.55,174.3,1658.0,0.057405281285891355,-2.518186905428092
14,2011-03-21,NSE:JUBLINDS,175.0,175.0,166.0,168.3,35750.0,-3.4423407917383817,0.057405281285891355
15,2011-03-22,NSE:JUBLINDS,166.10001,171.0,164.0,164.95,38866.0,-1.9904931669637687,-3.4423407917383817
16,2011-03-23,NSE:JUBLINDS,169.7,171.0,162.0,164.5,36391.0,-0.2728099424067831,-1.9904931669637687
17,2011-03-24,NSE:JUBLINDS,163.14999,163.75,161.05,161.7,46341.0,-1.702127659574475,-0.2728099424067831
18,2011-03-25,NSE:JUBLINDS,160.60001,169.0,158.45,160.0,48628.0,-1.0513296227581872,-1.702127659574475
19,2011-03-28,NSE:JUBLINDS,156.25,168.7,156.25,160.75,51829.0,0.46875,-1.0513296227581872
20,2011-03-29,NSE:JUBLINDS,162.95,171.7,160.0,169.7,47749.0,5.567651632970444,0.46875
21,2011-03-30,NSE:JUBLINDS,169.0,188.0,163.10001,172.0,46764.0,1.3553329404832124,5.567651632970444
22,2011-03-31,NSE:JUBLINDS,176.0,184.0,167.5,170.25,27250.0,-1.0174418604651163,1.3553329404832124
23,2011-04-01,NSE:JUBLINDS,169.55,184.0,169.55,182.10001,53222.0,6.960358296622612,-1.0174418604651163
24,2011-04-04,NSE:JUBLINDS,181.0,187.7,178.10001,182.85001,29501.0,0.41186159188019816,6.960358296622612
25,2011-04-05,NSE:JUBLINDS,183.05,199.0,182.55,192.0,48792.0,5.004095980087725,0.41186159188019816
26,2011-04-06,NSE:JUBLINDS,193.0,204.0,189.0,199.85001,48843.0,4.088546874999999,5.004095980087725
27,2011-04-07,NSE:JUBLINDS,204.0,209.8,199.05,201.14999,58787.0,0.6504778258454954,4.088546874999999
28,2011-04-08,NSE:JUBLINDS,201.10001,204.0,192.2,194.10001,17265.0,-3.5048373604194585,0.6504778258454954
29,2011-04-11,NSE:JUBLINDS,192.0,194.95,188.2,189.10001,5909.0,-2.5759916241117145,-3.5048373604194585
30,2011-04-13,NSE:JUBLINDS,190.0,197.8,165.25,187.05,17453.0,-1.0840877269123286,-2.5759916241117145
31,2011-04-15,NSE:JUBLINDS,186.0,191.5,183.10001,186.7,15934.0,-0.18711574445336687,-1.0840877269123286
32,2011-04-18,NSE:JUBLINDS,185.10001,195.7,185.0,189.75,17732.0,1.6336368505624057,-0.18711574445336687
33,2011-04-19,NSE:JUBLINDS,190.10001,198.75,187.0,196.45,71777.0,3.530961791831351,1.6336368505624057
34,2011-04-20,NSE:JUBLINDS,199.8,205.89999,197.0,203.64999,38049.0,3.6650496309493583,3.530961791831351
35,2011-04-21,NSE:JUBLINDS,209.89999,218.0,198.05,203.45,50670.0,-0.09820280374185822,3.6650496309493583
36,2011-04-25,NSE:JUBLINDS,205.0,229.8,203.0,214.64999,157273.0,5.5050331776849415,-0.09820280374185822
37,2011-04-26,NSE:JUBLINDS,216.10001,222.0,212.05,217.95,72757.0,1.5373911734167731,5.5050331776849415
38,2011-04-27,NSE:JUBLINDS,220.8,227.89999,218.14999,223.35001,58711.0,2.477637072723106,1.5373911734167731
39,2011-04-28,NSE:JUBLINDS,224.05,261.0,224.05,245.95,248474.0,10.118642931782269,2.477637072723106
40,2011-04-29,NSE:JUBLINDS,247.0,255.0,233.89999,238.5,108832.0,-3.0290709493799506,10.118642931782269
41,2011-05-02,NSE:JUBLINDS,243.95,243.95,205.0,207.8,306342.0,-12.872117400419283,-3.0290709493799506
42,2011-05-03,NSE:JUBLINDS,210.5,217.5,202.35001,205.35001,86746.0,-1.1790134744947132,-12.872117400419283
43,2011-05-04,NSE:JUBLINDS,205.45,211.5,200.64999,208.75,45988.0,1.6557048134548435,-1.1790134744947132
44,2011-05-05,NSE:JUBLINDS,209.39999,223.95,207.0,220.35001,209921.0,5.5568910179640705,1.6557048134548435
45,2011-05-06,NSE:JUBLINDS,224.8,228.10001,216.05,225.10001,71181.0,2.155661349867876,5.5568910179640705
46,2011-05-09,NSE:JUBLINDS,225.0,242.0,222.60001,234.10001,104256.0,3.9982228343748183,2.155661349867876
47,2011-05-10,NSE:JUBLINDS,226.75,239.8,226.75,230.8,24348.0,-1.4096582054823432,3.9982228343748183
48,2011-05-11,NSE:JUBLINDS,231.55,240.35001,230.2,233.25,42842.0,1.061525129982664,-1.4096582054823432
49,2011-05-12,NSE:JUBLINDS,235.0,243.89999,227.10001,229.3,54880.0,-1.6934619506966724,1.061525129982664
50,2011-05-13,NSE:JUBLINDS,228.39999,233.95,222.39999,224.5,13931.0,-2.0933275185346756,-1.6934619506966724
51,2011-05-16,NSE:JUBLINDS,224.5,229.0,214.0,217.3,11866.0,-3.2071269487750507,-2.0933275185346756
52,2011-05-17,NSE:JUBLINDS,221.8,221.8,209.05,209.5,16622.0,-3.5895075931891443,-3.2071269487750507
53,2011-05-18,NSE:JUBLINDS,208.10001,213.0,207.0,209.95,10313.0,0.2147971360381807,-3.5895075931891443
54,2011-05-19,NSE:JUBLINDS,210.0,211.89999,199.5,207.85001,29242.0,-1.0002333889021153,0.2147971360381807
55,2011-05-20,NSE:JUBLINDS,206.10001,209.0,200.39999,201.85001,30130.0,-2.8866969984750064,-1.0002333889021153
56,2011-05-23,NSE:JUBLINDS,197.0,206.0,195.0,196.10001,13623.0,-2.8486498464874983,-2.8866969984750064
57,2011-05-24,NSE:JUBLINDS,195.0,219.0,180.0,182.60001,35510.0,-6.884242382241593,-2.8486498464874983
58,2011-05-25,NSE:JUBLINDS,184.89999,191.7,178.0,186.0,49068.0,1.861987849836373,-6.884242382241593
59,2011-05-26,NSE:JUBLINDS,180.0,189.89999,175.7,179.0,26937.0,-3.763440860215054,1.861987849836373
60,2011-05-27,NSE:JUBLINDS,181.0,186.10001,178.0,179.89999,46012.0,0.5027877094972082,-3.763440860215054
61,2011-05-30,NSE:JUBLINDS,179.05,189.64999,175.5,179.95,59580.0,0.027798778643615334,0.5027877094972082
62,2011-05-31,NSE:JUBLINDS,184.05,189.39999,179.0,182.2,82807.0,1.2503473186996388,0.027798778643615334
63,2011-06-01,NSE:JUBLINDS,183.0,186.89999,179.10001,180.7,11577.0,-0.823271130625686,1.2503473186996388
64,2011-06-02,NSE:JUBLINDS,180.0,183.8,179.0,179.75,7947.0,-0.525733259546203,-0.823271130625686
65,2011-06-03,NSE:JUBLINDS,180.10001,186.0,179.0,182.2,33475.0,1.363004172461746,-0.525733259546203
66,2011-06-06,NSE:JUBLINDS,180.05,183.0,175.60001,178.55,6591.0,-2.0032930845224906,1.363004172461746
67,2011-06-07,NSE:JUBLINDS,179.0,183.0,179.0,181.60001,7408.0,1.7082105852702245,-2.0032930845224906
68,2011-06-08,NSE:JUBLINDS,182.7,182.7,172.5,173.3,57654.0,-4.570489836426764,1.7082105852702245
69,2011-06-09,NSE:JUBLINDS,174.10001,176.89999,171.35001,173.3,28385.0,0.0,-4.570489836426764
70,2011-06-10,NSE:JUBLINDS,173.0,173.0,169.0,170.60001,3726.0,-1.5579861511829278,0.0
71,2011-06-13,NSE:JUBLINDS,180.8,197.0,175.25,177.45,112655.0,4.015234231228939,-1.5579861511829278
72,2011-06-14,NSE:JUBLINDS,177.0,183.0,175.45,179.5,37359.0,1.155255001408854,4.015234231228939
73,2011-06-15,NSE:JUBLINDS,180.0,182.60001,177.0,178.0,8010.0,-0.8356545961002786,1.155255001408854
74,2011-06-16,NSE:JUBLINDS,175.5,176.45,173.25,173.89999,18621.0,-2.3033764044943807,-0.8356545961002786
75,2011-06-17,NSE:JUBLINDS,173.39999,176.60001,168.10001,169.3,11146.0,-2.6451927915579474,-2.3033764044943807
