,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-09-27,NSE:KALAMANDIR,231.0,247.0,230.95,244.89999,33760453.0,,
1,2023-09-28,NSE:KALAMANDIR,244.0,255.05,236.0,251.35001,5474077.0,2.633736326408178,
2,2023-09-29,NSE:KALAMANDIR,251.89999,258.79999,250.0,253.05,1962406.0,0.6763437168751312,2.633736326408178
3,2023-10-03,NSE:KALAMANDIR,254.39999,257.0,243.5,248.8,1524222.0,-1.679509978265165,0.6763437168751312
4,2023-10-04,NSE:KALAMANDIR,245.10001,246.75,227.5,239.45,2229825.0,-3.7580385852090123,-1.679509978265165
5,2023-10-05,NSE:KALAMANDIR,242.8,242.8,234.45,235.60001,1058198.0,-1.6078471497181006,-3.7580385852090123
6,2023-10-06,NSE:KALAMANDIR,235.95,246.5,235.95,243.35001,1825115.0,3.289473544589408,-1.6078471497181006
7,2023-10-09,NSE:KALAMANDIR,239.05,243.0,233.0,234.95,914208.0,-3.451822336066478,3.289473544589408
8,2023-10-10,NSE:KALAMANDIR,237.8,244.5,236.25,239.75,1171823.0,2.042987869759528,-3.451822336066478
9,2023-10-11,NSE:KALAMANDIR,241.7,247.5,239.10001,240.8,910216.0,0.4379562043795668,2.042987869759528
10,2023-10-12,NSE:KALAMANDIR,242.35001,255.45,242.35001,247.05,2689691.0,2.595514950166113,0.4379562043795668
11,2023-10-13,NSE:KALAMANDIR,248.0,254.0,232.0,243.89999,5542901.0,-1.2750495851042334,2.595514950166113
12,2023-10-16,NSE:KALAMANDIR,239.10001,258.45001,239.10001,253.35001,3135536.0,3.8745471043274726,-1.2750495851042334
13,2023-10-17,NSE:KALAMANDIR,253.89999,263.60001,252.05,257.29999,2878989.0,1.559099997667252,3.8745471043274726
14,2023-10-18,NSE:KALAMANDIR,256.70001,272.54999,256.64999,263.85001,2939646.0,2.5456744090817955,1.559099997667252
15,2023-10-19,NSE:KALAMANDIR,264.0,268.25,259.14999,264.14999,1145485.0,0.11369338208477044,2.5456744090817955
16,2023-10-20,NSE:KALAMANDIR,263.79999,269.64999,257.14999,261.60001,1045684.0,-0.9653530556635663,0.11369338208477044
17,2023-10-23,NSE:KALAMANDIR,262.0,264.79999,236.25,241.7,1371746.0,-7.607037170984821,-0.9653530556635663
18,2023-10-25,NSE:KALAMANDIR,244.0,246.0,235.2,239.5,928655.0,-0.910219280099292,-7.607037170984821
19,2023-10-26,NSE:KALAMANDIR,239.3,242.35001,221.85001,239.60001,1969486.0,0.04175782881001983,-0.910219280099292
20,2023-10-27,NSE:KALAMANDIR,243.0,247.3,239.85001,241.95,605487.0,0.980797121001786,0.04175782881001983
21,2023-10-30,NSE:KALAMANDIR,242.0,243.39999,237.0,238.10001,381715.0,-1.591233725976438,0.980797121001786
22,2023-10-31,NSE:KALAMANDIR,238.2,246.10001,237.55,238.8,536026.0,0.29398990785427265,-1.591233725976438
23,2023-11-01,NSE:KALAMANDIR,240.8,243.0,235.25,236.14999,387850.0,-1.1097194304857658,0.29398990785427265
24,2023-11-02,NSE:KALAMANDIR,239.75,245.85001,239.25,242.55,539597.0,2.7101462083483505,-1.1097194304857658
25,2023-11-03,NSE:KALAMANDIR,244.64999,248.60001,240.0,241.35001,324563.0,-0.49473922902494905,2.7101462083483505
26,2023-11-06,NSE:KALAMANDIR,242.89999,251.3,242.5,250.14999,693292.0,3.64614859556045,-0.49473922902494905
27,2023-11-07,NSE:KALAMANDIR,250.55,254.14999,248.0,251.05,654390.0,0.35978814150662525,3.64614859556045
28,2023-11-08,NSE:KALAMANDIR,252.85001,262.70001,245.2,258.79999,1890142.0,3.0870304720175135,0.35978814150662525
29,2023-11-09,NSE:KALAMANDIR,254.0,261.89999,251.60001,259.60001,1354656.0,0.30912675073906215,3.0870304720175135
30,2023-11-10,NSE:KALAMANDIR,259.75,259.75,245.0,247.75,1119846.0,-4.564718622314382,0.30912675073906215
31,2023-11-12,NSE:KALAMANDIR,251.7,254.0,248.6,253.8,314342.0,2.441977800201821,-4.564718622314382
32,2023-11-13,NSE:KALAMANDIR,252.60001,256.39999,248.89999,253.60001,657294.0,-0.07879826635146331,2.441977800201821
33,2023-11-15,NSE:KALAMANDIR,254.55,272.54999,254.55,266.70001,1808821.0,5.165614938264404,-0.07879826635146331
34,2023-11-16,NSE:KALAMANDIR,266.70001,282.39999,265.79999,277.89999,1636912.0,4.199467409093828,5.165614938264404
35,2023-11-17,NSE:KALAMANDIR,279.64999,284.29999,273.5,280.20001,1146322.0,0.8276430668457447,4.199467409093828
36,2023-11-20,NSE:KALAMANDIR,282.29999,294.10001,279.5,292.70001,1319692.0,4.461099055635294,0.8276430668457447
37,2023-11-21,NSE:KALAMANDIR,294.95001,296.45001,281.0,283.04999,1136964.0,-3.2968977349881334,4.461099055635294
38,2023-11-22,NSE:KALAMANDIR,284.0,294.10001,282.04999,283.95001,1035200.0,0.3179721009705884,-3.2968977349881334
39,2023-11-23,NSE:KALAMANDIR,284.85001,289.0,281.0,282.95001,318447.0,-0.3521746662379057,0.3179721009705884
40,2023-11-24,NSE:KALAMANDIR,285.25,303.0,284.14999,298.75,1409023.0,5.584021714648457,-0.3521746662379057
41,2023-11-28,NSE:KALAMANDIR,301.95001,312.0,295.0,296.64999,1104707.0,-0.7029322175732209,5.584021714648457
42,2023-11-29,NSE:KALAMANDIR,301.10001,307.0,293.39999,295.75,563565.0,-0.3033844700281306,-0.7029322175732209
43,2023-11-30,NSE:KALAMANDIR,297.0,298.45001,288.0,293.95001,359726.0,-0.6086187658495282,-0.3033844700281306
44,2023-12-01,NSE:KALAMANDIR,294.04999,307.85001,294.04999,297.85001,1209867.0,1.3267562059276599,-0.6086187658495282
45,2023-12-04,NSE:KALAMANDIR,306.0,309.70001,299.0,302.54999,672737.0,1.5779687232510022,1.3267562059276599
46,2023-12-05,NSE:KALAMANDIR,302.0,304.29999,295.0,297.04999,526156.0,-1.817881402012276,1.5779687232510022
47,2023-12-06,NSE:KALAMANDIR,298.25,298.25,290.04999,294.04999,413936.0,-1.009931022047838,-1.817881402012276
48,2023-12-07,NSE:KALAMANDIR,293.5,293.54999,284.0,289.60001,446999.0,-1.513341319957189,-1.009931022047838
49,2023-12-08,NSE:KALAMANDIR,290.70001,299.64999,290.20001,295.14999,440126.0,1.916429491836,-1.513341319957189
50,2023-12-11,NSE:KALAMANDIR,296.95001,297.0,291.64999,292.54999,196717.0,-0.8809080427209306,1.916429491836
51,2023-12-12,NSE:KALAMANDIR,294.45001,294.95001,285.04999,288.04999,429984.0,-1.538198651109166,-0.8809080427209306
52,2023-12-13,NSE:KALAMANDIR,291.0,291.0,285.0,288.04999,230821.0,0.0,-1.538198651109166
53,2023-12-14,NSE:KALAMANDIR,289.5,290.0,277.14999,280.0,576682.0,-2.794650331353936,0.0
54,2023-12-15,NSE:KALAMANDIR,279.85001,285.04999,278.04999,279.39999,227603.0,-0.2142892857142848,-2.794650331353936
55,2023-12-18,NSE:KALAMANDIR,280.0,281.45001,274.70001,279.20001,289613.0,-0.07157480571133244,-0.2142892857142848
56,2023-12-19,NSE:KALAMANDIR,279.54999,280.89999,274.0,276.20001,308732.0,-1.0744985288503393,-0.07157480571133244
57,2023-12-20,NSE:KALAMANDIR,276.20001,279.0,260.0,262.45001,510376.0,-4.978276430909615,-1.0744985288503393
58,2023-12-21,NSE:KALAMANDIR,258.0,273.0,255.5,266.79999,341405.0,1.6574508798837384,-4.978276430909615
59,2023-12-22,NSE:KALAMANDIR,268.25,278.60001,267.39999,277.5,598125.0,4.010498651068174,1.6574508798837384
60,2023-12-26,NSE:KALAMANDIR,279.25,288.20001,273.0,274.89999,1294407.0,-0.9369405405405395,4.010498651068174
61,2023-12-27,NSE:KALAMANDIR,276.70001,278.5,264.39999,275.10001,973845.0,0.07276100664827051,-0.9369405405405395
62,2023-12-28,NSE:KALAMANDIR,275.60001,286.0,272.0,278.0,1592452.0,1.0541584495035106,0.07276100664827051
63,2023-12-29,NSE:KALAMANDIR,279.39999,280.60001,272.35001,275.0,1159861.0,-1.079136690647482,1.0541584495035106
64,2024-01-01,NSE:KALAMANDIR,275.20001,294.39999,274.14999,287.04999,1053348.0,4.381814545454539,-1.079136690647482
65,2024-01-02,NSE:KALAMANDIR,289.0,289.14999,278.75,281.54999,1098116.0,-1.9160425680558288,4.381814545454539
66,2024-01-03,NSE:KALAMANDIR,282.0,284.5,277.39999,280.35001,797674.0,-0.4262049520939362,-1.9160425680558288
67,2024-01-04,NSE:KALAMANDIR,283.0,284.20001,274.5,278.25,603353.0,-0.7490672106628417,-0.4262049520939362
68,2024-01-05,NSE:KALAMANDIR,281.39999,281.39999,269.89999,272.54999,545532.0,-2.048521114106027,-0.7490672106628417
69,2024-01-08,NSE:KALAMANDIR,275.54999,275.79999,267.14999,268.95001,534582.0,-1.3208512684223397,-2.048521114106027
70,2024-01-09,NSE:KALAMANDIR,270.0,273.0,261.10001,262.20001,531916.0,-2.5097600851548583,-1.3208512684223397
71,2024-01-10,NSE:KALAMANDIR,264.45001,264.89999,260.39999,262.79999,372357.0,0.22882531545287108,-2.5097600851548583
72,2024-01-11,NSE:KALAMANDIR,265.64999,271.5,262.75,267.0,306059.0,1.5981773819702279,0.22882531545287108
73,2024-01-12,NSE:KALAMANDIR,266.85001,271.0,262.95001,266.79999,279770.0,-0.07491011235955815,1.5981773819702279
74,2024-01-15,NSE:KALAMANDIR,266.0,266.95001,255.7,257.0,654663.0,-3.6731598078395655,-0.07491011235955815
75,2024-01-16,NSE:KALAMANDIR,260.64999,260.64999,246.89999,248.95,613244.0,-3.132295719844362,-3.6731598078395655
76,2024-01-17,NSE:KALAMANDIR,248.95,255.0,239.0,241.0,898207.0,-3.1934123317935286,-3.132295719844362
77,2024-01-18,NSE:KALAMANDIR,242.0,251.25,239.0,248.85001,618204.0,3.2572655601659743,-3.1934123317935286
78,2024-01-19,NSE:KALAMANDIR,252.0,257.10001,242.14999,244.10001,530078.0,-1.9087803130889969,3.2572655601659743
79,2024-01-20,NSE:KALAMANDIR,246.0,251.0,239.39999,240.35001,315210.0,-1.5362555700018201,-1.9087803130889969
80,2024-01-23,NSE:KALAMANDIR,244.8,248.8,233.0,233.75,494451.0,-2.7459994696900565,-1.5362555700018201
81,2024-01-24,NSE:KALAMANDIR,236.0,243.5,231.89999,240.89999,468174.0,3.0588192513368995,-2.7459994696900565
82,2024-01-25,NSE:KALAMANDIR,242.95,247.0,239.64999,245.10001,221054.0,1.7434703920079013,3.0588192513368995
83,2024-01-29,NSE:KALAMANDIR,245.10001,255.0,245.0,248.85001,941859.0,1.5299876976749207,1.7434703920079013
84,2024-01-30,NSE:KALAMANDIR,250.89999,250.89999,241.14999,243.95,406694.0,-1.9690616046187857,1.5299876976749207
85,2024-01-31,NSE:KALAMANDIR,244.0,245.2,238.5,243.39999,321286.0,-0.22546013527361594,-1.9690616046187857
86,2024-02-01,NSE:KALAMANDIR,245.0,246.5,234.5,235.8,358141.0,-3.122428230173712,-0.22546013527361594
87,2024-02-02,NSE:KALAMANDIR,242.0,242.0,234.3,236.14999,288857.0,0.14842663273960607,-3.122428230173712
88,2024-02-05,NSE:KALAMANDIR,238.0,238.8,229.55,231.25,403508.0,-2.074948214056669,0.14842663273960607
89,2024-02-06,NSE:KALAMANDIR,231.0,237.0,230.2,233.2,288456.0,0.8432432432432383,-2.074948214056669
90,2024-02-07,NSE:KALAMANDIR,234.95,250.5,233.10001,246.45,847966.0,5.6818181818181825,0.8432432432432383
91,2024-02-08,NSE:KALAMANDIR,252.0,253.0,240.95,243.39999,332941.0,-1.2375776019476512,5.6818181818181825
92,2024-02-09,NSE:KALAMANDIR,243.39999,251.0,233.3,248.7,475929.0,2.1774898183027807,-1.2375776019476512
93,2024-02-12,NSE:KALAMANDIR,234.0,240.60001,230.05,236.5,1477353.0,-4.9055086449537555,2.1774898183027807
94,2024-02-13,NSE:KALAMANDIR,240.0,241.95,232.0,240.0,262956.0,1.4799154334038054,-4.9055086449537555
95,2024-02-14,NSE:KALAMANDIR,238.0,242.0,236.75,238.5,370289.0,-0.625,1.4799154334038054
96,2024-02-15,NSE:KALAMANDIR,241.8,244.0,237.8,242.0,198959.0,1.4675052410901468,-0.625
97,2024-02-16,NSE:KALAMANDIR,245.0,246.8,236.10001,237.8,217338.0,-1.7355371900826402,1.4675052410901468
98,2024-02-19,NSE:KALAMANDIR,238.05,240.5,236.3,237.35001,135663.0,-0.1892304457527392,-1.7355371900826402
99,2024-02-20,NSE:KALAMANDIR,236.25,238.75,233.0,234.55,196835.0,-1.1796966008132825,-0.1892304457527392
100,2024-02-21,NSE:KALAMANDIR,235.8,239.55,229.5,230.45,560241.0,-1.748028138989564,-1.1796966008132825
101,2024-02-22,NSE:KALAMANDIR,232.39999,238.0,232.0,237.25,256970.0,2.9507485354740774,-1.748028138989564
102,2024-02-23,NSE:KALAMANDIR,239.0,239.0,234.05,236.5,344115.0,-0.31612223393045313,2.9507485354740774
103,2024-02-26,NSE:KALAMANDIR,236.5,238.95,236.10001,238.05,193552.0,0.6553911205074043,-0.31612223393045313
104,2024-02-27,NSE:KALAMANDIR,238.0,239.45,235.0,236.2,267832.0,-0.7771476580550399,0.6553911205074043
105,2024-02-28,NSE:KALAMANDIR,236.14999,243.64999,234.0,236.05,829992.0,-0.06350550381032061,-0.7771476580550399
106,2024-02-29,NSE:KALAMANDIR,235.8,238.25,231.39999,233.60001,162201.0,-1.037911459436566,-0.06350550381032061
107,2024-03-01,NSE:KALAMANDIR,232.05,235.64999,223.64999,229.10001,243223.0,-1.9263697805492388,-1.037911459436566
108,2024-03-02,NSE:KALAMANDIR,230.05,231.2,224.0,228.64999,69305.0,-0.19642949819163907,-1.9263697805492388
109,2024-03-04,NSE:KALAMANDIR,229.89999,234.95,222.0,224.60001,214822.0,-1.7712574577414173,-0.19642949819163907
110,2024-03-05,NSE:KALAMANDIR,224.14999,224.5,212.45,213.8,409169.0,-4.808552768986959,-1.7712574577414173
111,2024-03-06,NSE:KALAMANDIR,214.0,215.95,203.05,204.75,694460.0,-4.232927970065488,-4.808552768986959
112,2024-03-07,NSE:KALAMANDIR,207.2,212.39999,205.25,210.5,660130.0,2.8083028083028085,-4.232927970065488
113,2024-03-11,NSE:KALAMANDIR,214.0,214.0,198.35001,199.89999,891904.0,-5.035634204275533,2.8083028083028085
114,2024-03-12,NSE:KALAMANDIR,200.5,204.45,189.45,191.89999,1071927.0,-4.00200120070041,-5.035634204275533
115,2024-03-13,NSE:KALAMANDIR,193.14999,197.0,175.25,177.39999,864874.0,-7.556019153518455,-4.00200120070041
116,2024-03-14,NSE:KALAMANDIR,177.39999,185.35001,171.05,173.25,1304325.0,-2.339340605374331,-7.556019153518455
117,2024-03-15,NSE:KALAMANDIR,174.0,184.3,168.39999,180.05,1401448.0,3.924963924963931,-2.339340605374331
118,2024-03-18,NSE:KALAMANDIR,179.10001,183.2,174.10001,178.89999,461822.0,-0.6387170230491579,3.924963924963931
119,2024-03-19,NSE:KALAMANDIR,179.0,187.25,177.60001,179.85001,1176701.0,0.5310341269443307,-0.6387170230491579
120,2024-03-20,NSE:KALAMANDIR,180.7,184.95,175.39999,183.75,637558.0,2.1684680473467877,0.5310341269443307
121,2024-03-21,NSE:KALAMANDIR,184.45,191.8,181.95,189.7,877286.0,3.2380952380952315,2.1684680473467877
122,2024-03-22,NSE:KALAMANDIR,189.0,199.0,186.95,195.0,731016.0,2.793885081707966,3.2380952380952315
123,2024-03-26,NSE:KALAMANDIR,193.85001,201.0,190.0,199.95,595413.0,2.5384615384615326,2.793885081707966
124,2024-03-27,NSE:KALAMANDIR,200.85001,204.10001,195.0,199.45,906361.0,-0.25006251562890724,2.5384615384615326
125,2024-03-28,NSE:KALAMANDIR,196.89999,203.95,192.5,200.39999,641860.0,0.47630483830534665,-0.25006251562890724
