,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-07-08,NSE:KCK,25.0,26.25,23.75,26.25,216000.0,,
1,2022-07-11,NSE:KCK,27.549999,27.549999,27.549999,27.549999,12000.0,4.9523771428571415,
2,2022-07-12,NSE:KCK,28.9,28.9,28.9,28.9,12000.0,4.900185295832493,4.9523771428571415
3,2022-07-13,NSE:KCK,30.0,30.0,27.5,28.950001,292000.0,0.17301384083045585,4.900185295832493
4,2022-07-14,NSE:KCK,28.0,28.0,27.549999,28.0,52000.0,-3.2815232027107712,0.17301384083045585
5,2022-07-15,NSE:KCK,26.6,27.799999,26.6,27.799999,28000.0,-0.7142892857142868,-3.2815232027107712
6,2022-07-18,NSE:KCK,26.9,26.9,26.6,26.6,48000.0,-4.316543320738962,-0.7142892857142868
7,2022-07-19,NSE:KCK,25.35,25.35,25.299999,25.299999,20000.0,-4.8872218045112845,-4.316543320738962
8,2022-07-20,NSE:KCK,24.549999,26.549999,24.549999,26.549999,56000.0,4.940711657735639,-4.8872218045112845
9,2022-07-21,NSE:KCK,27.65,27.85,27.65,27.85,20000.0,4.896425796475555,4.940711657735639
10,2022-07-22,NSE:KCK,28.0,31.700001,28.0,30.25,256000.0,8.617594254937158,4.896425796475555
11,2022-07-25,NSE:KCK,30.299999,30.5,28.5,28.5,48000.0,-5.785123966942149,8.617594254937158
12,2022-07-26,NSE:KCK,28.5,29.75,28.0,29.75,32000.0,4.385964912280701,-5.785123966942149
13,2022-07-27,NSE:KCK,29.0,31.450001,27.549999,28.700001,176000.0,-3.5294084033613435,4.385964912280701
14,2022-07-28,NSE:KCK,28.4,28.4,28.200001,28.200001,8000.0,-1.7421602180431979,-3.5294084033613435
15,2022-07-29,NSE:KCK,28.0,28.0,27.9,27.9,8000.0,-1.0638332956087544,-1.7421602180431979
16,2022-08-01,NSE:KCK,26.35,27.9,26.35,27.9,16000.0,0.0,-1.0638332956087544
17,2022-08-02,NSE:KCK,24.5,26.0,24.5,26.0,8000.0,-6.810035842293901,0.0
18,2022-08-03,NSE:KCK,26.0,26.0,25.1,25.1,12000.0,-3.4615384615384563,-6.810035842293901
19,2022-08-04,NSE:KCK,25.0,25.0,25.0,25.0,4000.0,-0.3984063745019977,-3.4615384615384563
20,2022-08-05,NSE:KCK,24.35,24.35,24.35,24.35,4000.0,-2.5999999999999943,-0.3984063745019977
21,2022-08-10,NSE:KCK,23.5,24.0,23.5,23.9,48000.0,-1.8480492813141798,-2.5999999999999943
22,2022-08-11,NSE:KCK,24.9,26.6,24.9,26.5,20000.0,10.878661087866115,-1.8480492813141798
23,2022-08-12,NSE:KCK,27.799999,28.950001,26.299999,28.4,40000.0,7.169811320754711,10.878661087866115
24,2022-08-16,NSE:KCK,28.5,28.5,27.950001,27.950001,16000.0,-1.5845035211267546,7.169811320754711
25,2022-08-22,NSE:KCK,25.200001,25.200001,25.200001,25.200001,8000.0,-9.838997859069844,-1.5845035211267546
26,2022-08-23,NSE:KCK,24.65,26.0,24.65,26.0,12000.0,3.1745990803730506,-9.838997859069844
27,2022-08-24,NSE:KCK,25.0,26.950001,25.0,26.700001,28000.0,2.6923115384615395,3.1745990803730506
28,2022-08-25,NSE:KCK,27.5,27.5,27.0,27.5,20000.0,2.996250824110455,2.6923115384615395
29,2022-08-26,NSE:KCK,26.6,26.6,26.6,26.6,4000.0,-3.2727272727272676,2.996250824110455
30,2022-08-29,NSE:KCK,28.299999,28.299999,26.1,27.0,32000.0,1.5037593984962352,-3.2727272727272676
31,2022-09-01,NSE:KCK,27.25,27.25,27.0,27.0,12000.0,0.0,1.5037593984962352
32,2022-09-02,NSE:KCK,27.0,27.15,26.15,26.15,24000.0,-3.1481481481481532,0.0
33,2022-09-05,NSE:KCK,26.1,26.1,26.0,26.0,8000.0,-0.5736137667303961,-3.1481481481481532
34,2022-09-06,NSE:KCK,25.1,25.1,25.1,25.1,4000.0,-3.4615384615384563,-0.5736137667303961
35,2022-09-07,NSE:KCK,26.25,26.450001,26.25,26.450001,8000.0,5.378490039840632,-3.4615384615384563
36,2022-09-08,NSE:KCK,26.0,26.0,26.0,26.0,4000.0,-1.7013269678137262,5.378490039840632
37,2022-09-09,NSE:KCK,25.450001,25.450001,25.450001,25.450001,4000.0,-2.115380769230768,-1.7013269678137262
38,2022-09-12,NSE:KCK,25.4,25.4,25.4,25.4,8000.0,-0.19646757577731228,-2.115380769230768
39,2022-09-13,NSE:KCK,24.35,25.950001,24.35,25.950001,8000.0,2.1653582677165426,-0.19646757577731228
40,2022-09-14,NSE:KCK,25.950001,25.950001,25.65,25.65,8000.0,-1.1560731731763776,2.1653582677165426
41,2022-09-21,NSE:KCK,24.299999,24.299999,24.299999,24.299999,4000.0,-5.263161793372316,-1.1560731731763776
42,2022-09-22,NSE:KCK,23.549999,23.700001,23.0,23.0,16000.0,-5.349790343612771,-5.263161793372316
43,2022-09-28,NSE:KCK,23.0,23.0,23.0,23.0,4000.0,0.0,-5.349790343612771
44,2022-09-30,NSE:KCK,23.0,23.0,22.5,22.5,12000.0,-2.1739130434782608,0.0
45,2022-10-03,NSE:KCK,21.75,21.75,21.6,21.6,8000.0,-3.999999999999994,-2.1739130434782608
46,2022-10-04,NSE:KCK,21.5,21.549999,21.5,21.549999,8000.0,-0.23148611111111916,-3.999999999999994
