,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-10-11,NSE:KEL,76.849998,77.400002,75.0,75.349998,61200.0,,
1,2023-10-12,NSE:KEL,77.199997,78.25,75.050003,75.75,52800.0,0.5308586736790631,
2,2023-10-13,NSE:KEL,77.0,77.650002,76.050003,76.849998,64800.0,1.452142574257425,0.5308586736790631
3,2023-10-16,NSE:KEL,80.349998,80.349998,76.150002,77.25,48000.0,0.5204970857644012,1.452142574257425
4,2023-10-17,NSE:KEL,77.599998,77.599998,76.0,76.400002,21600.0,-1.1003210355987048,0.5204970857644012
5,2023-10-18,NSE:KEL,76.0,76.199997,73.349998,74.099998,34800.0,-3.0104763609822958,-1.1003210355987048
6,2023-10-19,NSE:KEL,74.5,75.0,72.0,72.199997,44400.0,-2.5641039828368193,-3.0104763609822958
7,2023-10-20,NSE:KEL,71.5,73.0,71.150002,72.5,38400.0,0.41551663776385445,-2.5641039828368193
8,2023-10-23,NSE:KEL,71.550003,72.949997,70.0,70.400002,56400.0,-2.8965489655172405,0.41551663776385445
9,2023-10-25,NSE:KEL,68.400002,70.699997,68.050003,69.949997,30000.0,-0.6392116295678577,-2.8965489655172405
10,2023-10-26,NSE:KEL,68.0,69.449997,65.0,69.199997,40800.0,-1.0721944705730295,-0.6392116295678577
11,2023-10-27,NSE:KEL,72.0,72.900002,71.5,72.449997,42000.0,4.696531995514394,-1.0721944705730295
12,2023-10-30,NSE:KEL,72.449997,72.449997,71.0,71.5,7200.0,-1.3112450508452005,4.696531995514394
13,2023-10-31,NSE:KEL,71.199997,71.199997,70.050003,70.5,10800.0,-1.3986013986013985,-1.3112450508452005
14,2023-11-01,NSE:KEL,70.550003,70.550003,69.25,69.25,13200.0,-1.773049645390071,-1.3986013986013985
15,2023-11-02,NSE:KEL,69.300003,69.5,68.5,69.5,7200.0,0.36101083032490977,-1.773049645390071
16,2023-11-03,NSE:KEL,72.0,78.0,71.800003,73.699997,63600.0,6.043161151079132,0.36101083032490977
17,2023-11-06,NSE:KEL,77.25,79.650002,75.0,78.25,94800.0,6.173681391058949,6.043161151079132
18,2023-11-07,NSE:KEL,81.0,83.900002,73.400002,75.949997,150000.0,-2.9393009584664584,6.173681391058949
19,2023-11-08,NSE:KEL,77.0,79.0,76.0,76.0,16800.0,0.065836737294412,-2.9393009584664584
20,2023-11-09,NSE:KEL,76.0,77.449997,74.0,77.199997,36000.0,1.5789434210526265,0.065836737294412
21,2023-11-10,NSE:KEL,77.25,77.449997,74.650002,75.75,26400.0,-1.8782345289469329,1.5789434210526265
22,2023-11-13,NSE:KEL,87.75,98.400002,87.050003,95.75,729600.0,26.4026402640264,-1.8782345289469329
23,2023-11-15,NSE:KEL,99.0,103.5,94.0,102.05,398400.0,6.579634464751956,26.4026402640264
24,2023-11-16,NSE:KEL,107.8,122.45,105.05,122.45,345600.0,19.990200881920632,6.579634464751956
25,2023-11-17,NSE:KEL,134.64999,134.64999,120.5,126.3,355200.0,3.144140465496116,19.990200881920632
26,2023-11-20,NSE:KEL,125.0,132.89999,115.5,115.95,115200.0,-8.194774346793345,3.144140465496116
27,2023-11-21,NSE:KEL,118.95,118.95,107.35,115.8,109200.0,-0.12936610608021187,-8.194774346793345
28,2023-11-22,NSE:KEL,115.9,126.8,113.45,125.6,171600.0,8.462867012089808,-0.12936610608021187
29,2023-11-23,NSE:KEL,127.5,130.0,122.5,123.8,84000.0,-1.433121019108278,8.462867012089808
30,2023-11-24,NSE:KEL,124.0,127.0,122.1,125.15,48000.0,1.0904684975767436,-1.433121019108278
31,2023-11-28,NSE:KEL,129.89999,137.64999,129.89999,137.60001,310800.0,9.948070315621248,1.0904684975767436
32,2023-11-29,NSE:KEL,139.95,151.35001,137.64999,151.35001,235200.0,9.992731831923559,9.948070315621248
33,2023-11-30,NSE:KEL,158.7,158.89999,158.0,158.89999,44400.0,4.988423852763542,9.992731831923559
34,2023-12-01,NSE:KEL,163.8,163.8,150.95,150.95,108000.0,-5.003140654697344,4.988423852763542
35,2023-12-04,NSE:KEL,146.0,155.5,143.39999,143.85001,242400.0,-4.703537595230204,-5.003140654697344
36,2023-12-05,NSE:KEL,147.35001,151.0,143.14999,151.0,162000.0,4.970448038203128,-4.703537595230204
37,2023-12-06,NSE:KEL,158.55,158.55,158.55,158.55,9600.0,5.000000000000007,4.970448038203128
38,2023-12-07,NSE:KEL,166.45,166.45,166.45,166.45,10800.0,4.982655313781128,5.000000000000007
39,2023-12-08,NSE:KEL,174.75,174.75,174.75,174.75,18000.0,4.986482427155309,4.982655313781128
40,2023-12-11,NSE:KEL,183.45,183.45,183.45,183.45,27600.0,4.978540772532182,4.986482427155309
41,2023-12-12,NSE:KEL,191.0,192.60001,191.0,192.60001,31200.0,4.9877405287544345,4.978540772532182
42,2023-12-13,NSE:KEL,199.0,200.0,183.0,198.0,420000.0,2.8037329800761706,4.9877405287544345
43,2023-12-14,NSE:KEL,200.0,207.89999,200.0,207.89999,62400.0,4.99999494949495,2.8037329800761706
44,2023-12-15,NSE:KEL,218.2,218.25,218.2,218.25,14400.0,4.978360027819144,4.99999494949495
45,2023-12-18,NSE:KEL,229.14999,229.14999,215.0,229.05,229200.0,4.948453608247428,4.978360027819144
46,2023-12-19,NSE:KEL,232.0,240.5,229.75,240.5,94800.0,4.998908535254306,4.948453608247428
47,2023-12-20,NSE:KEL,249.45,252.5,228.5,252.5,195600.0,4.98960498960499,4.998908535254306
48,2023-12-21,NSE:KEL,257.54999,265.10001,250.10001,265.10001,99600.0,4.990102970297029,4.98960498960499
49,2023-12-22,NSE:KEL,274.70001,278.35001,251.85001,252.3,184800.0,-4.828370244120317,4.990102970297029
50,2023-12-26,NSE:KEL,247.25,247.25,239.7,239.7,46800.0,-4.994054696789545,-4.828370244120317
51,2023-12-27,NSE:KEL,227.75,227.75,227.75,227.75,164400.0,-4.985398414685018,-4.994054696789545
52,2023-12-28,NSE:KEL,221.25,239.10001,220.5,224.35001,139200.0,-1.492860592755215,-4.985398414685018
53,2023-12-29,NSE:KEL,221.0,222.89999,214.25,215.89999,44400.0,-3.766445118500327,-1.492860592755215
54,2024-01-01,NSE:KEL,215.89999,215.89999,205.10001,206.05,42000.0,-4.562292939429961,-3.766445118500327
55,2024-01-02,NSE:KEL,214.45,216.35001,213.95,216.35001,40800.0,4.9987915554477,-4.562292939429961
56,2024-01-03,NSE:KEL,221.8,227.14999,220.0,227.14999,16800.0,4.991901779898233,4.9987915554477
57,2024-01-04,NSE:KEL,238.5,238.5,226.64999,234.0,31200.0,3.0156329744940766,4.991901779898233
58,2024-01-05,NSE:KEL,234.05,234.05,222.3,222.3,33600.0,-4.999999999999996,3.0156329744940766
59,2024-01-08,NSE:KEL,214.0,221.0,211.2,212.8,38400.0,-4.273504273504273,-4.999999999999996
60,2024-01-09,NSE:KEL,211.0,219.95,202.2,203.25,62400.0,-4.4877819548872235,-4.273504273504273
61,2024-01-10,NSE:KEL,197.0,213.39999,193.10001,213.39999,170400.0,4.993845018450186,-4.4877819548872235
62,2024-01-11,NSE:KEL,221.0,224.05,211.0,223.8,90000.0,4.87348195283421,4.993845018450186
63,2024-01-12,NSE:KEL,223.8,234.95,220.0,232.95,46800.0,4.088471849865941,4.87348195283421
64,2024-01-15,NSE:KEL,224.3,243.95,224.3,240.05,43200.0,3.047864348572665,4.088471849865941
