,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-06-28,NSE:KIMS,1009.0,1059.0,950.0,996.95001,13385295.0,,
1,2021-06-29,NSE:KIMS,996.45001,1013.0,965.0,968.90002,1718095.0,-2.813580392059977,
2,2021-06-30,NSE:KIMS,969.65002,976.79999,938.09998,947.04999,802615.0,-2.255137738566675,-2.813580392059977
3,2021-07-01,NSE:KIMS,944.59998,1009.9,937.54999,992.5,1558442.0,4.799114141799423,-2.255137738566675
4,2021-07-02,NSE:KIMS,995.0,1028.6,975.0,1018.25,1033806.0,2.5944584382871536,4.799114141799423
5,2021-07-05,NSE:KIMS,1028.25,1136.0,1015.0,1094.4,2783374.0,7.4785170635895,2.5944584382871536
6,2021-07-06,NSE:KIMS,1093.0,1111.0,1062.15,1066.55,740940.0,-2.544773391812878,7.4785170635895
7,2021-07-07,NSE:KIMS,1069.0,1114.15,1065.1,1101.55,787947.0,3.2816089259762786,-2.544773391812878
8,2021-07-08,NSE:KIMS,1105.0,1152.4,1095.3,1128.35,1155280.0,2.4329354091961286,3.2816089259762786
9,2021-07-09,NSE:KIMS,1135.0,1142.8,1111.8,1122.35,306534.0,-0.5317499002968937,2.4329354091961286
10,2021-07-12,NSE:KIMS,1132.4,1211.0,1125.05,1164.05,1280205.0,3.7154185414532055,-0.5317499002968937
11,2021-07-13,NSE:KIMS,1182.0,1200.0,1171.3,1192.4,364654.0,2.4354623942270637,3.7154185414532055
12,2021-07-14,NSE:KIMS,1203.0,1274.0,1179.0,1253.4,940219.0,5.115732975511573,2.4354623942270637
13,2021-07-15,NSE:KIMS,1265.0,1325.0,1264.0,1295.85,907243.0,3.3867879368118565,5.115732975511573
14,2021-07-16,NSE:KIMS,1307.55,1322.0,1255.6,1281.5,422670.0,-1.1073812555465457,3.3867879368118565
15,2021-07-19,NSE:KIMS,1268.0,1305.0,1257.55,1297.7,471816.0,1.2641435817401518,-1.1073812555465457
16,2021-07-20,NSE:KIMS,1309.9,1319.0,1260.1,1283.6,327498.0,-1.0865377205825797,1.2641435817401518
17,2021-07-22,NSE:KIMS,1293.25,1296.1,1243.3,1251.5,170159.0,-2.5007790588968457,-1.0865377205825797
18,2021-07-23,NSE:KIMS,1261.9,1261.9,1203.3,1217.2,379837.0,-2.7407111466240472,-2.5007790588968457
19,2021-07-26,NSE:KIMS,1215.0,1232.7,1146.7,1196.25,1673782.0,-1.7211633256654653,-2.7407111466240472
20,2021-07-27,NSE:KIMS,1200.0,1247.0,1199.0,1221.85,465929.0,2.1400208986415805,-1.7211633256654653
21,2021-07-28,NSE:KIMS,1225.0,1231.95,1189.95,1199.4,332685.0,-1.8373777468592563,2.1400208986415805
22,2021-07-29,NSE:KIMS,1200.0,1234.0,1197.05,1215.55,642744.0,1.3465065866266352,-1.8373777468592563
23,2021-07-30,NSE:KIMS,1210.0,1227.2,1197.9,1205.45,448787.0,-0.8308995927769248,1.3465065866266352
24,2021-08-02,NSE:KIMS,1208.0,1305.0,1200.0,1274.4,684320.0,5.719855655564316,-0.8308995927769248
25,2021-08-03,NSE:KIMS,1282.0,1328.0,1274.0,1287.2,720269.0,1.0043942247332043,5.719855655564316
26,2021-08-04,NSE:KIMS,1295.0,1320.0,1256.0,1264.7,328843.0,-1.747980111870727,1.0043942247332043
27,2021-08-05,NSE:KIMS,1270.95,1282.0,1215.15,1228.85,295442.0,-2.8346643472760444,-1.747980111870727
28,2021-08-06,NSE:KIMS,1234.0,1249.0,1220.5,1228.1,145046.0,-0.061032672824185216,-2.8346643472760444
29,2021-08-09,NSE:KIMS,1234.25,1236.6,1219.8,1226.2,153616.0,-0.15471052845858346,-0.061032672824185216
30,2021-08-10,NSE:KIMS,1230.0,1245.9,981.0,1166.65,349945.0,-4.856467134235847,-0.15471052845858346
31,2021-08-11,NSE:KIMS,1275.0,1300.0,1216.8,1275.8,2762675.0,9.355847940684853,-4.856467134235847
32,2021-08-12,NSE:KIMS,1276.1,1319.0,1255.5,1299.7,968900.0,1.873334378429228,9.355847940684853
33,2021-08-13,NSE:KIMS,1298.7,1317.85,1270.0,1276.3,339482.0,-1.800415480495506,1.873334378429228
34,2021-08-16,NSE:KIMS,1283.95,1284.25,1207.5,1221.5,666275.0,-4.293661364882862,-1.800415480495506
35,2021-08-17,NSE:KIMS,1220.0,1390.0,1212.15,1377.45,1818877.0,12.767089643880478,-4.293661364882862
36,2021-08-18,NSE:KIMS,1393.0,1397.5,1335.1,1369.9,545465.0,-0.5481142691204729,12.767089643880478
37,2021-08-20,NSE:KIMS,1367.0,1394.8,1283.5,1291.8,678995.0,-5.701146069056144,-0.5481142691204729
38,2021-08-23,NSE:KIMS,1304.9,1335.1,1220.75,1251.55,576652.0,-3.1158074005263976,-5.701146069056144
39,2021-08-24,NSE:KIMS,1258.6,1284.2,1247.0,1262.2,234513.0,0.8509448284127755,-3.1158074005263976
40,2021-08-25,NSE:KIMS,1268.95,1282.0,1255.05,1275.9,212085.0,1.0854064332118558,0.8509448284127755
