,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-12-22,NSE:METROBRAND,437.0,507.89999,426.0,493.35001,19716936.0,,
1,2021-12-23,NSE:METROBRAND,499.89999,512.0,478.0,480.60001,2173869.0,-2.5843720972053896,
2,2021-12-24,NSE:METROBRAND,484.0,489.0,466.04999,470.45001,951656.0,-2.1119433601343407,-2.5843720972053896
3,2021-12-27,NSE:METROBRAND,460.10001,464.89999,444.20001,449.95001,540067.0,-4.357529931819961,-2.1119433601343407
4,2021-12-28,NSE:METROBRAND,446.25,464.5,446.25,460.25,419620.0,2.289140964792951,-4.357529931819961
5,2021-12-29,NSE:METROBRAND,459.0,469.70001,450.0,453.95001,572715.0,-1.3688191200434503,2.289140964792951
6,2021-12-30,NSE:METROBRAND,451.0,462.0,450.0,452.14999,166176.0,-0.3965238375036092,-1.3688191200434503
7,2021-12-31,NSE:METROBRAND,451.0,460.89999,451.0,458.20001,247933.0,1.338055984475421,-0.3965238375036092
8,2022-01-03,NSE:METROBRAND,454.5,461.79999,450.04999,453.60001,327782.0,-1.0039283936288046,1.338055984475421
9,2022-01-04,NSE:METROBRAND,458.70001,458.70001,434.79999,436.60001,374329.0,-3.747795331838727,-1.0039283936288046
10,2022-01-05,NSE:METROBRAND,437.25,448.70001,428.75,439.85001,360297.0,0.7443884392031965,-3.747795331838727
11,2022-01-06,NSE:METROBRAND,432.10001,457.0,431.64999,455.20001,408705.0,3.4898259977304584,0.7443884392031965
12,2022-01-07,NSE:METROBRAND,465.0,471.10001,456.54999,468.25,319032.0,2.866869444928171,3.4898259977304584
13,2022-01-10,NSE:METROBRAND,468.0,480.0,458.64999,478.25,295438.0,2.1356113187399894,2.866869444928171
14,2022-01-11,NSE:METROBRAND,484.75,498.10001,478.0,494.54999,606349.0,3.4082571876633514,2.1356113187399894
15,2022-01-12,NSE:METROBRAND,488.29999,502.0,484.25,499.0,459370.0,0.8998099464120949,3.4082571876633514
16,2022-01-13,NSE:METROBRAND,492.20001,509.79999,488.89999,500.95001,505248.0,0.39078356713427265,0.8998099464120949
17,2022-01-14,NSE:METROBRAND,500.89999,512.0,492.95001,507.95001,508691.0,1.3973450165217083,0.39078356713427265
18,2022-01-17,NSE:METROBRAND,545.0,609.5,545.0,605.0,5552207.0,19.106208896422697,1.3973450165217083
19,2022-01-18,NSE:METROBRAND,621.0,673.0,595.25,605.20001,5058331.0,0.03305950413223475,19.106208896422697
20,2022-01-19,NSE:METROBRAND,596.0,621.70001,586.0,608.09998,887038.0,0.4791754712627878,0.03305950413223475
21,2022-01-20,NSE:METROBRAND,611.90002,627.0,600.0,608.54999,865251.0,0.07400263358009324,0.4791754712627878
22,2022-01-21,NSE:METROBRAND,606.90002,619.70001,591.0,601.75,384543.0,-1.117408612561144,0.07400263358009324
23,2022-01-24,NSE:METROBRAND,600.0,609.90002,556.5,597.45001,441786.0,-0.7145808059825476,-1.117408612561144
24,2022-01-25,NSE:METROBRAND,597.0,625.0,584.0,612.90002,319471.0,2.5859920899490856,-0.7145808059825476
25,2022-01-27,NSE:METROBRAND,600.0,630.0,595.29999,625.79999,397438.0,2.104742956281832,2.5859920899490856
26,2022-01-28,NSE:METROBRAND,629.79999,630.59998,602.5,615.15002,328952.0,-1.7018169015950193,2.104742956281832
27,2022-01-31,NSE:METROBRAND,616.0,625.0,600.5,608.90002,321552.0,-1.016012321677239,-1.7018169015950193
28,2022-02-01,NSE:METROBRAND,610.0,614.75,575.40002,595.15002,326331.0,-2.258170397169637,-1.016012321677239
29,2022-02-02,NSE:METROBRAND,595.45001,608.25,585.15002,598.70001,361387.0,0.5964865799718834,-2.258170397169637
30,2022-02-03,NSE:METROBRAND,592.0,603.25,589.0,591.04999,364061.0,-1.2777718176420343,0.5964865799718834
31,2022-02-04,NSE:METROBRAND,592.0,592.70001,581.09998,582.5,92462.0,-1.4465764562486467,-1.2777718176420343
32,2022-02-07,NSE:METROBRAND,582.0,595.54999,573.20001,577.90002,186031.0,-0.7896961373390488,-1.4465764562486467
33,2022-02-08,NSE:METROBRAND,575.0,589.5,565.0,567.20001,136380.0,-1.8515330731430013,-0.7896961373390488
