,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2007-04-23,NSE:PHOENIXLTD,330.0,345.0,301.6,324.02,29660.0,,
1,2007-04-24,NSE:PHOENIXLTD,323.0,330.0,321.8,328.07,4190.0,1.249922844268876,
2,2007-04-25,NSE:PHOENIXLTD,328.0,328.0,324.17,325.08,670.0,-0.911390861706346,1.249922844268876
3,2007-04-26,NSE:PHOENIXLTD,330.04,348.0,324.61,326.05,24085.0,0.2983880890857719,-0.911390861706346
4,2007-04-27,NSE:PHOENIXLTD,326.23,331.4,324.81,327.15,3800.0,0.33737156877778435,0.2983880890857719
5,2007-04-30,NSE:PHOENIXLTD,326.0,327.6,324.0,327.6,2565.0,0.1375515818432051,0.33737156877778435
6,2007-05-03,NSE:PHOENIXLTD,340.0,342.0,330.4,331.54,375.0,1.202686202686202,0.1375515818432051
7,2007-05-04,NSE:PHOENIXLTD,339.0,345.0,336.21,337.63,1050.0,1.8368824274597257,1.202686202686202
8,2007-05-07,NSE:PHOENIXLTD,339.4,345.0,335.6,344.72,27565.0,2.0999318780914114,1.8368824274597257
9,2007-05-08,NSE:PHOENIXLTD,349.4,370.0,349.19,365.77,6795.0,6.106405198421894,2.0999318780914114
10,2007-05-09,NSE:PHOENIXLTD,366.0,374.8,355.0,356.57,0.0,-2.5152418186291903,6.106405198421894
11,2007-05-10,NSE:PHOENIXLTD,360.0,366.0,355.0,362.11,3645.0,1.5536921221639568,-2.5152418186291903
12,2007-05-11,NSE:PHOENIXLTD,369.8,375.6,346.23,374.87,4935.0,3.5237911131976447,1.5536921221639568
13,2007-05-14,NSE:PHOENIXLTD,380.0,384.0,377.0,379.97,2835.0,1.3604716301651298,3.5237911131976447
14,2007-05-15,NSE:PHOENIXLTD,378.0,378.0,370.41,373.05,190.0,-1.8211964102429181,1.3604716301651298
15,2007-05-16,NSE:PHOENIXLTD,379.99,390.0,359.01,383.13,4570.0,2.7020506634499353,-1.8211964102429181
16,2007-05-17,NSE:PHOENIXLTD,380.0,385.98,378.0,378.54,1125.0,-1.1980267794221218,2.7020506634499353
17,2007-05-18,NSE:PHOENIXLTD,378.0,380.0,372.0,372.66,495.0,-1.5533365034078288,-1.1980267794221218
18,2007-05-21,NSE:PHOENIXLTD,371.01,385.6,371.01,385.15,4045.0,3.3515805291686664,-1.5533365034078288
19,2007-05-22,NSE:PHOENIXLTD,375.21,385.0,375.21,385.0,940.0,-0.03894586524730034,3.3515805291686664
20,2007-05-23,NSE:PHOENIXLTD,386.28,396.0,382.0,385.28,1500.0,0.07272727272726565,-0.03894586524730034
21,2007-05-24,NSE:PHOENIXLTD,388.0,394.0,379.2,392.6,2360.0,1.899916943521608,0.07272727272726565
22,2007-05-25,NSE:PHOENIXLTD,381.01,390.0,381.01,389.58,1550.0,-0.769230769230779,1.899916943521608
23,2007-05-28,NSE:PHOENIXLTD,390.0,394.8,384.0,384.0,135.0,-1.4323117203141806,-0.769230769230779
24,2007-05-29,NSE:PHOENIXLTD,384.27,388.8,384.27,385.35,350.0,0.3515625000000059,-1.4323117203141806
25,2007-05-30,NSE:PHOENIXLTD,393.98,404.0,393.98,398.0,300.0,3.2827299857272547,0.3515625000000059
26,2007-05-31,NSE:PHOENIXLTD,392.0,400.0,384.23,399.78,1030.0,0.4472361809045157,3.2827299857272547
27,2007-06-01,NSE:PHOENIXLTD,398.0,405.0,391.0,402.61,1940.0,0.7078893391365354,0.4472361809045157
28,2007-06-04,NSE:PHOENIXLTD,408.0,408.0,396.0,396.0,1530.0,-1.6417873376220198,0.7078893391365354
29,2007-06-05,NSE:PHOENIXLTD,398.99,399.0,381.0,388.36,3930.0,-1.9292929292929257,-1.6417873376220198
30,2007-06-06,NSE:PHOENIXLTD,403.79,407.74,372.0,374.84,3545.0,-3.4813060047378817,-1.9292929292929257
