,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-10-11,NSE:QMSMEDI,128.0,134.39999,128.0,134.39999,1390000.0,,
1,2022-10-12,NSE:QMSMEDI,133.0,133.85001,127.75,128.39999,208000.0,-4.464286046449854,
2,2022-10-13,NSE:QMSMEDI,128.39999,128.89999,124.0,127.5,315000.0,-0.7009268458665787,-4.464286046449854
3,2022-10-14,NSE:QMSMEDI,127.5,132.95,124.0,125.4,184000.0,-1.6470588235294075,-0.7009268458665787
4,2022-10-17,NSE:QMSMEDI,130.8,130.8,126.75,129.2,150000.0,3.0303030303030165,-1.6470588235294075
5,2022-10-18,NSE:QMSMEDI,130.5,131.0,125.0,128.3,272000.0,-0.6965944272445646,3.0303030303030165
6,2022-10-19,NSE:QMSMEDI,130.89999,131.45,125.25,126.65,161000.0,-1.2860483242400667,-0.6965944272445646
7,2022-10-20,NSE:QMSMEDI,125.1,131.0,125.1,130.55,135000.0,3.079352546387687,-1.2860483242400667
8,2022-10-21,NSE:QMSMEDI,132.0,132.0,127.15,128.55,45000.0,-1.5319800842589044,3.079352546387687
9,2022-10-24,NSE:QMSMEDI,132.5,134.95,132.5,134.95,60000.0,4.978607545702044,-1.5319800842589044
10,2022-10-25,NSE:QMSMEDI,139.95,141.64999,134.10001,141.64999,63000.0,4.9647943682845606,4.978607545702044
11,2022-10-27,NSE:QMSMEDI,159.0,169.95,154.5,169.95,352000.0,19.97882950785947,4.9647943682845606
12,2022-10-28,NSE:QMSMEDI,183.0,201.0,164.0,179.85001,484000.0,5.825248602530161,19.97882950785947
13,2022-10-31,NSE:QMSMEDI,189.39999,189.39999,168.2,174.25,93000.0,-3.113711253060257,5.825248602530161
14,2022-11-01,NSE:QMSMEDI,172.8,199.95,166.39999,189.25,190000.0,8.608321377331421,-3.113711253060257
15,2022-11-02,NSE:QMSMEDI,196.0,196.0,187.0,189.2,72000.0,-0.026420079260243787,8.608321377331421
16,2022-11-03,NSE:QMSMEDI,182.5,191.5,182.5,186.25,82000.0,-1.5591966173361462,-0.026420079260243787
17,2022-11-04,NSE:QMSMEDI,188.0,188.64999,177.05,181.7,142000.0,-2.4429530201342344,-1.5591966173361462
18,2022-11-07,NSE:QMSMEDI,185.0,191.0,182.3,184.25,90000.0,1.4034122179416684,-2.4429530201342344
19,2022-11-09,NSE:QMSMEDI,185.0,193.0,183.10001,191.95,42000.0,4.179104477611935,1.4034122179416684
20,2022-11-10,NSE:QMSMEDI,187.0,211.0,187.0,204.10001,124000.0,6.329778588174009,4.179104477611935
21,2022-11-11,NSE:QMSMEDI,215.0,219.89999,210.0,219.10001,139000.0,7.349338199444479,6.329778588174009
