,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2023-05-02,NSE:QUICKTOUCH,92.0,96.599998,92.0,96.599998,848000.0,,
1,2023-05-03,NSE:QUICKTOUCH,101.4,101.4,96.900002,100.65,686000.0,4.192548741046565,
2,2023-05-04,NSE:QUICKTOUCH,95.650002,105.65,95.650002,105.65,282000.0,4.967709885742672,4.192548741046565
3,2023-05-05,NSE:QUICKTOUCH,110.9,110.9,105.0,110.9,186000.0,4.969238050165641,4.967709885742672
4,2023-05-08,NSE:QUICKTOUCH,113.0,116.4,112.0,116.4,172000.0,4.959422903516682,4.969238050165641
5,2023-05-09,NSE:QUICKTOUCH,122.2,122.2,119.0,122.2,52000.0,4.982817869415805,4.959422903516682
6,2023-05-10,NSE:QUICKTOUCH,128.3,128.3,128.3,128.3,24000.0,4.991816693944361,4.982817869415805
7,2023-05-11,NSE:QUICKTOUCH,134.7,134.7,134.7,134.7,4000.0,4.9883086515978,4.991816693944361
8,2023-05-12,NSE:QUICKTOUCH,141.39999,141.39999,128.0,134.10001,256000.0,-0.44542687453599944,4.9883086515978
9,2023-05-15,NSE:QUICKTOUCH,136.0,140.8,136.0,140.8,144000.0,4.996263609525468,-0.44542687453599944
10,2023-05-16,NSE:QUICKTOUCH,141.0,151.14999,132.25,146.0,94000.0,3.69318181818181,4.996263609525468
11,2023-05-17,NSE:QUICKTOUCH,141.10001,160.60001,139.25,160.60001,142000.0,10.000006849315067,3.69318181818181
12,2023-05-18,NSE:QUICKTOUCH,172.0,176.64999,170.5,176.64999,110000.0,9.993760274361133,10.000006849315067
13,2023-05-19,NSE:QUICKTOUCH,185.0,185.45,167.85001,167.85001,242000.0,-4.981590998108749,9.993760274361133
14,2023-05-22,NSE:QUICKTOUCH,159.45,166.85001,159.45,159.45,70000.0,-5.004473934794528,-4.981590998108749
15,2023-05-23,NSE:QUICKTOUCH,151.5,158.95,151.5,151.5,138000.0,-4.985888993414857,-5.004473934794528
16,2023-05-24,NSE:QUICKTOUCH,143.95,143.95,143.95,143.95,10000.0,-4.983498349834991,-4.985888993414857
17,2023-05-25,NSE:QUICKTOUCH,136.75,139.25,136.75,136.75,146000.0,-5.001736714136846,-4.983498349834991
18,2023-05-26,NSE:QUICKTOUCH,129.95,129.95,129.95,129.95,46000.0,-4.972577696526517,-5.001736714136846
19,2023-05-29,NSE:QUICKTOUCH,125.55,136.39999,123.45,135.75,322000.0,4.463255098114669,-4.972577696526517
20,2023-05-30,NSE:QUICKTOUCH,139.0,142.5,137.8,142.5,198000.0,4.972375690607735,4.463255098114669
21,2023-05-31,NSE:QUICKTOUCH,149.60001,149.60001,135.39999,135.39999,350000.0,-4.982463157894735,4.972375690607735
22,2023-06-01,NSE:QUICKTOUCH,130.0,130.14999,128.64999,128.64999,108000.0,-4.985229319440865,-4.982463157894735
23,2023-06-02,NSE:QUICKTOUCH,130.95,134.0,125.0,128.95,84000.0,0.23319861898161523,-4.985229319440865
24,2023-06-05,NSE:QUICKTOUCH,123.55,124.0,122.5,122.5,78000.0,-5.001938735944156,0.23319861898161523
25,2023-06-06,NSE:QUICKTOUCH,116.4,116.4,116.4,116.4,12000.0,-4.979591836734689,-5.001938735944156
26,2023-06-07,NSE:QUICKTOUCH,110.6,122.0,110.6,114.1,486000.0,-1.9759450171821402,-4.979591836734689
27,2023-06-08,NSE:QUICKTOUCH,116.9,119.8,116.9,118.3,150000.0,3.680981595092027,-1.9759450171821402
28,2023-06-09,NSE:QUICKTOUCH,123.7,124.2,123.7,124.2,36000.0,4.987320371935762,3.680981595092027
29,2023-06-12,NSE:QUICKTOUCH,129.39999,130.39999,129.39999,130.39999,12000.0,4.991940418679549,4.987320371935762
30,2023-06-13,NSE:QUICKTOUCH,136.89999,136.89999,136.89999,136.89999,4000.0,4.984662958946546,4.991940418679549
31,2023-06-14,NSE:QUICKTOUCH,140.0,140.0,130.05,136.25,184000.0,-0.4747918535275295,4.984662958946546
32,2023-06-15,NSE:QUICKTOUCH,139.0,143.05,137.7,139.14999,86000.0,2.1284330275229375,-0.4747918535275295
33,2023-06-16,NSE:QUICKTOUCH,139.0,141.0,132.2,132.2,54000.0,-4.994603305397301,2.1284330275229375
34,2023-06-19,NSE:QUICKTOUCH,132.2,136.7,125.6,125.6,68000.0,-4.992435703479573,-4.994603305397301
35,2023-06-20,NSE:QUICKTOUCH,119.55,125.5,119.55,123.0,64000.0,-2.0700636942675117,-4.992435703479573
36,2023-06-21,NSE:QUICKTOUCH,125.0,129.14999,125.0,129.14999,64000.0,4.999991869918701,-2.0700636942675117
37,2023-06-22,NSE:QUICKTOUCH,135.5,135.60001,130.0,131.95,64000.0,2.1680295910204763,4.999991869918701
38,2023-06-23,NSE:QUICKTOUCH,132.60001,135.89999,132.60001,133.0,30000.0,0.7957559681697699,2.1680295910204763
39,2023-06-26,NSE:QUICKTOUCH,129.5,139.0,129.5,138.5,36000.0,4.135338345864661,0.7957559681697699
40,2023-06-27,NSE:QUICKTOUCH,141.05,141.7,139.0,141.39999,18000.0,2.093855595667872,4.135338345864661
41,2023-06-28,NSE:QUICKTOUCH,145.5,145.5,134.35001,135.0,38000.0,-4.526160150364935,2.093855595667872
42,2023-06-30,NSE:QUICKTOUCH,138.39999,140.5,135.0,135.05,18000.0,0.03703703703704546,-4.526160150364935
43,2023-07-03,NSE:QUICKTOUCH,135.05,135.05,130.60001,131.5,20000.0,-2.6286560533135956,0.03703703703704546
44,2023-07-04,NSE:QUICKTOUCH,130.60001,134.0,127.25,133.0,28000.0,1.1406844106463878,-2.6286560533135956
45,2023-07-05,NSE:QUICKTOUCH,134.0,138.2,131.05,133.0,16000.0,0.0,1.1406844106463878
46,2023-07-06,NSE:QUICKTOUCH,133.5,138.0,132.89999,138.0,24000.0,3.7593984962406015,0.0
47,2023-07-07,NSE:QUICKTOUCH,140.0,144.89999,140.0,142.0,78000.0,2.898550724637681,3.7593984962406015
48,2023-07-10,NSE:QUICKTOUCH,143.0,143.0,140.0,142.0,12000.0,0.0,2.898550724637681
49,2023-07-11,NSE:QUICKTOUCH,142.0,145.89999,138.60001,145.5,18000.0,2.464788732394366,0.0
50,2023-07-12,NSE:QUICKTOUCH,143.5,143.5,138.75,138.75,8000.0,-4.639175257731959,2.464788732394366
51,2023-07-13,NSE:QUICKTOUCH,138.25,140.0,138.10001,140.0,10000.0,0.9009009009009009,-4.639175257731959
52,2023-07-14,NSE:QUICKTOUCH,141.95,145.0,139.5,139.5,30000.0,-0.35714285714285715,0.9009009009009009
53,2023-07-17,NSE:QUICKTOUCH,142.7,142.7,138.10001,138.10001,8000.0,-1.0035770609319015,-0.35714285714285715
54,2023-07-18,NSE:QUICKTOUCH,138.10001,140.5,138.0,138.0,10000.0,-0.07241853204789593,-1.0035770609319015
55,2023-07-19,NSE:QUICKTOUCH,135.0,136.5,131.25,134.0,26000.0,-2.898550724637681,-0.07241853204789593
56,2023-07-20,NSE:QUICKTOUCH,134.0,134.0,129.0,129.5,14000.0,-3.3582089552238807,-2.898550724637681
57,2023-07-21,NSE:QUICKTOUCH,134.0,135.95,134.0,135.95,32000.0,4.980694980694972,-3.3582089552238807
58,2023-07-24,NSE:QUICKTOUCH,135.95,142.7,135.95,142.7,42000.0,4.965060684075028,4.980694980694972
59,2023-07-25,NSE:QUICKTOUCH,146.0,146.0,139.0,141.0,14000.0,-1.1913104414856264,4.965060684075028
60,2023-07-26,NSE:QUICKTOUCH,136.0,143.0,135.7,143.0,8000.0,1.4184397163120568,-1.1913104414856264
61,2023-07-28,NSE:QUICKTOUCH,143.0,143.0,140.0,140.0,4000.0,-2.097902097902098,1.4184397163120568
62,2023-07-31,NSE:QUICKTOUCH,140.0,144.0,140.0,140.10001,34000.0,0.07143571428571249,-2.097902097902098
