,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-12-17,NSE:RATEGAIN,360.0,383.0,333.85001,340.04999,18246530.0,,
1,2021-12-20,NSE:RATEGAIN,320.0,359.79999,313.14999,335.14999,5054723.0,-1.4409646064097745,
2,2021-12-21,NSE:RATEGAIN,338.35001,374.85001,338.35001,364.39999,3952930.0,8.727435737056116,-1.4409646064097745
3,2021-12-22,NSE:RATEGAIN,361.85001,401.85001,361.45001,396.95001,4429807.0,8.932497500891813,8.727435737056116
4,2021-12-23,NSE:RATEGAIN,403.0,411.0,376.10001,382.70001,2220750.0,-3.5898726895107016,8.932497500891813
5,2021-12-24,NSE:RATEGAIN,380.25,381.85001,361.29999,371.70001,1230112.0,-2.874314009032819,-3.5898726895107016
6,2021-12-27,NSE:RATEGAIN,365.0,385.0,297.39999,375.45001,868755.0,1.0088781003799274,-2.874314009032819
7,2021-12-28,NSE:RATEGAIN,377.0,387.54999,375.5,378.64999,617253.0,0.8523052110186339,1.0088781003799274
8,2021-12-29,NSE:RATEGAIN,375.0,401.0,371.04999,383.5,995673.0,1.2808689100982142,0.8523052110186339
9,2021-12-30,NSE:RATEGAIN,380.20001,399.75,368.10001,372.85001,1135196.0,-2.7770508474576276,1.2808689100982142
10,2021-12-31,NSE:RATEGAIN,375.0,383.75,370.75,372.35001,374458.0,-0.13410218226895046,-2.7770508474576276
11,2022-01-03,NSE:RATEGAIN,372.64999,381.45001,372.29999,374.39999,303511.0,0.5505518853081285,-0.13410218226895046
12,2022-01-04,NSE:RATEGAIN,374.89999,396.0,372.0,389.04999,930829.0,3.9129274549392954,0.5505518853081285
13,2022-01-05,NSE:RATEGAIN,385.89999,388.89999,376.45001,384.60001,608533.0,-1.1438067380492627,3.9129274549392954
14,2022-01-06,NSE:RATEGAIN,378.0,388.0,375.39999,379.79999,300557.0,-1.2480550897541625,-1.1438067380492627
15,2022-01-07,NSE:RATEGAIN,383.39999,385.64999,376.35001,381.39999,244856.0,0.4212743660156555,-1.2480550897541625
16,2022-01-10,NSE:RATEGAIN,383.0,429.0,381.0,423.5,2874946.0,11.038282932309462,0.4212743660156555
17,2022-01-11,NSE:RATEGAIN,430.0,434.5,416.39999,428.0,1389428.0,1.062573789846517,11.038282932309462
18,2022-01-12,NSE:RATEGAIN,431.60001,436.0,411.14999,414.04999,707263.0,-3.259348130841126,1.062573789846517
19,2022-01-13,NSE:RATEGAIN,416.89999,447.0,412.0,443.29999,1883531.0,7.064364377837565,-3.259348130841126
20,2022-01-14,NSE:RATEGAIN,438.29999,503.29999,431.10001,475.95001,5375191.0,7.36522010749426,7.064364377837565
21,2022-01-17,NSE:RATEGAIN,472.0,503.0,472.0,493.89999,1806638.0,3.7714002779409506,7.36522010749426
22,2022-01-18,NSE:RATEGAIN,496.0,525.0,485.20001,515.20001,2604393.0,4.312618026171658,3.7714002779409506
23,2022-01-19,NSE:RATEGAIN,508.0,511.60001,482.70001,488.10001,1169946.0,-5.2600930656037885,4.312618026171658
24,2022-01-20,NSE:RATEGAIN,486.95001,489.60001,462.0,465.89999,837657.0,-4.54825231411079,-5.2600930656037885
25,2022-01-21,NSE:RATEGAIN,466.10001,475.0,418.5,431.75,1296735.0,-7.3298971309271765,-4.54825231411079
26,2022-01-24,NSE:RATEGAIN,430.0,434.25,385.75,401.20001,2391835.0,-7.075851766068323,-7.3298971309271765
