,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2021-04-23,NSE:SIDDHIKA,55.900002,55.900002,55.5,55.700001,4000.0,,
1,2021-04-26,NSE:SIDDHIKA,51.0,55.0,51.0,55.0,4000.0,-1.2567342682812523,
2,2021-04-28,NSE:SIDDHIKA,54.950001,56.950001,52.0,55.299999,12000.0,0.5454527272727266,-1.2567342682812523
3,2021-04-29,NSE:SIDDHIKA,56.400002,56.849998,56.400002,56.549999,8000.0,2.2603978708932706,0.5454527272727266
4,2021-04-30,NSE:SIDDHIKA,56.0,57.75,56.0,56.650002,12000.0,0.17683996776021332,2.2603978708932706
5,2021-05-03,NSE:SIDDHIKA,57.0,58.0,55.0,56.5,12000.0,-0.26478728103134164,0.17683996776021332
6,2021-05-04,NSE:SIDDHIKA,56.700001,58.0,56.700001,58.0,6000.0,2.6548672566371683,-0.26478728103134164
7,2021-05-06,NSE:SIDDHIKA,57.0,57.5,57.0,57.5,4000.0,-0.8620689655172413,2.6548672566371683
8,2021-05-07,NSE:SIDDHIKA,57.5,58.0,57.5,57.5,8000.0,0.0,-0.8620689655172413
9,2021-05-10,NSE:SIDDHIKA,51.0,56.950001,51.0,56.950001,4000.0,-0.9565199999999994,0.0
10,2021-05-11,NSE:SIDDHIKA,53.0,53.0,52.549999,52.549999,4000.0,-7.726078881017054,-0.9565199999999994
11,2021-05-14,NSE:SIDDHIKA,52.0,57.0,52.0,56.950001,6000.0,8.372982081312696,-7.726078881017054
12,2021-05-18,NSE:SIDDHIKA,51.0,56.900002,51.0,54.549999,6000.0,-4.214226440487685,8.372982081312696
13,2021-05-19,NSE:SIDDHIKA,53.0,53.0,53.0,53.0,2000.0,-2.841428099751202,-4.214226440487685
14,2021-05-20,NSE:SIDDHIKA,53.0,54.849998,53.0,54.849998,4000.0,3.4905622641509417,-2.841428099751202
15,2021-05-26,NSE:SIDDHIKA,55.0,56.700001,55.0,56.650002,8000.0,3.2816847140085605,3.4905622641509417
16,2021-05-31,NSE:SIDDHIKA,52.099998,52.099998,52.049999,52.049999,4000.0,-8.12004031350255,3.2816847140085605
17,2021-06-02,NSE:SIDDHIKA,57.0,62.450001,45.0,55.400002,62000.0,6.43612500357589,-8.12004031350255
18,2021-06-03,NSE:SIDDHIKA,54.400002,56.400002,51.349998,54.599998,140000.0,-1.444050489384461,6.43612500357589
19,2021-06-04,NSE:SIDDHIKA,54.599998,57.0,54.599998,56.950001,12000.0,4.304034956191758,-1.444050489384461
20,2021-06-08,NSE:SIDDHIKA,52.799999,54.599998,52.799999,53.700001,4000.0,-5.706760215860225,4.304034956191758
21,2021-06-09,NSE:SIDDHIKA,53.700001,56.0,53.700001,53.700001,8000.0,0.0,-5.706760215860225
22,2021-06-11,NSE:SIDDHIKA,56.0,60.950001,56.0,56.900002,26000.0,5.959033408584109,0.0
23,2021-06-14,NSE:SIDDHIKA,58.0,63.900002,57.900002,62.700001,56000.0,10.19331950111355,5.959033408584109
24,2021-06-15,NSE:SIDDHIKA,62.599998,75.199997,62.599998,75.199997,70000.0,19.936197449183446,10.19331950111355
25,2021-06-16,NSE:SIDDHIKA,75.5,81.5,75.5,78.5,12000.0,4.388302036767374,19.936197449183446
26,2021-06-17,NSE:SIDDHIKA,75.0,75.0,70.650002,70.650002,16000.0,-9.9999974522293,4.388302036767374
27,2021-06-18,NSE:SIDDHIKA,69.300003,76.650002,69.300003,71.300003,20000.0,0.9200296979467929,-9.9999974522293
28,2021-06-22,NSE:SIDDHIKA,65.199997,71.300003,64.199997,71.150002,20000.0,-0.2103800752995805,0.9200296979467929
29,2021-06-24,NSE:SIDDHIKA,65.099998,65.800003,65.099998,65.800003,6000.0,-7.51932375209209,-0.2103800752995805
30,2021-06-25,NSE:SIDDHIKA,60.5,62.200001,60.5,61.5,12000.0,-6.534958668618911,-7.51932375209209
31,2021-06-28,NSE:SIDDHIKA,61.5,61.5,61.5,61.5,2000.0,0.0,-6.534958668618911
32,2021-06-30,NSE:SIDDHIKA,63.799999,67.599998,63.799999,67.599998,16000.0,9.918695934959349,0.0
33,2021-07-01,NSE:SIDDHIKA,67.599998,68.0,64.099998,67.949997,16000.0,0.5177500153180431,9.918695934959349
34,2021-07-06,NSE:SIDDHIKA,61.549999,67.0,61.549999,67.0,18000.0,-1.3980824752648573,0.5177500153180431
35,2021-07-09,NSE:SIDDHIKA,64.0,69.0,63.0,69.0,14000.0,2.9850746268656714,-1.3980824752648573
36,2021-07-12,NSE:SIDDHIKA,72.949997,72.949997,67.0,69.449997,14000.0,0.6521695652173859,2.9850746268656714
37,2021-07-13,NSE:SIDDHIKA,69.0,71.0,67.0,68.699997,50000.0,-1.0799136535599851,0.6521695652173859
38,2021-07-14,NSE:SIDDHIKA,68.550003,68.550003,68.0,68.25,6000.0,-0.655017495852287,-1.0799136535599851
39,2021-07-15,NSE:SIDDHIKA,63.200001,65.25,63.200001,63.200001,12000.0,-7.399265934065934,-0.655017495852287
40,2021-07-19,NSE:SIDDHIKA,61.0,61.0,61.0,61.0,2000.0,-3.4810141854269916,-7.399265934065934
41,2021-07-23,NSE:SIDDHIKA,59.0,60.25,58.349998,60.25,6000.0,-1.2295081967213115,-3.4810141854269916
42,2021-07-26,NSE:SIDDHIKA,58.549999,58.549999,58.349998,58.450001,6000.0,-2.987550207468879,-1.2295081967213115
43,2021-07-27,NSE:SIDDHIKA,61.5,61.5,61.450001,61.450001,4000.0,5.132591871127598,-2.987550207468879
44,2021-08-03,NSE:SIDDHIKA,58.349998,58.5,58.349998,58.349998,10000.0,-5.0447566306793075,5.132591871127598
45,2021-08-04,NSE:SIDDHIKA,63.75,63.75,63.75,63.75,2000.0,9.25450245945167,-5.0447566306793075
46,2021-08-06,NSE:SIDDHIKA,63.700001,63.700001,60.599998,62.150002,4000.0,-2.5098007843137244,9.25450245945167
47,2021-08-09,NSE:SIDDHIKA,59.049999,59.049999,59.049999,59.049999,2000.0,-4.987937088079258,-2.5098007843137244
48,2021-08-10,NSE:SIDDHIKA,58.5,60.900002,56.099998,58.200001,22000.0,-1.4394547237841604,-4.987937088079258
49,2021-08-11,NSE:SIDDHIKA,58.5,58.5,58.5,58.5,2000.0,0.5154621904559756,-1.4394547237841604
50,2021-08-12,NSE:SIDDHIKA,58.5,58.5,58.5,58.5,2000.0,0.0,0.5154621904559756
51,2021-08-18,NSE:SIDDHIKA,56.0,56.0,55.599998,56.0,10000.0,-4.273504273504273,0.0
52,2021-08-25,NSE:SIDDHIKA,57.950001,58.799999,57.950001,58.799999,4000.0,4.999998214285713,-4.273504273504273
53,2021-08-26,NSE:SIDDHIKA,56.0,61.700001,56.0,61.700001,8000.0,4.931976274353339,4.999998214285713
54,2021-08-30,NSE:SIDDHIKA,64.699997,64.75,64.0,64.75,12000.0,4.9432722051333515,4.931976274353339
55,2021-09-01,NSE:SIDDHIKA,62.5,62.5,62.5,62.5,10000.0,-3.474903474903475,4.9432722051333515
56,2021-09-06,NSE:SIDDHIKA,59.5,61.25,59.5,61.25,4000.0,-2.0,-3.474903474903475
57,2021-09-07,NSE:SIDDHIKA,64.300003,64.300003,64.300003,64.300003,6000.0,4.979596734693883,-2.0
58,2021-09-08,NSE:SIDDHIKA,67.5,67.5,65.300003,65.300003,4000.0,1.5552098807833648,4.979596734693883
59,2021-09-09,NSE:SIDDHIKA,65.0,66.949997,65.0,66.949997,16000.0,2.52679008299585,1.5552098807833648
60,2021-09-13,NSE:SIDDHIKA,67.0,68.199997,67.0,68.199997,8000.0,1.867065057523453,2.52679008299585
61,2021-09-14,NSE:SIDDHIKA,68.0,71.5,66.050003,66.300003,18000.0,-2.785915078559303,1.867065057523453
62,2021-09-15,NSE:SIDDHIKA,66.300003,69.599998,66.300003,69.599998,8000.0,4.977367798912461,-2.785915078559303
63,2021-09-16,NSE:SIDDHIKA,73.050003,73.050003,73.0,73.050003,10000.0,4.956903878071957,4.977367798912461
64,2021-09-17,NSE:SIDDHIKA,73.050003,73.050003,73.050003,73.050003,2000.0,0.0,4.956903878071957
65,2021-09-20,NSE:SIDDHIKA,74.949997,76.699997,72.0,74.949997,20000.0,2.600949927407932,0.0
66,2021-09-21,NSE:SIDDHIKA,73.949997,78.650002,73.949997,78.650002,10000.0,4.936631284988583,2.600949927407932
67,2021-09-22,NSE:SIDDHIKA,82.550003,82.550003,77.349998,82.550003,24000.0,4.958678831311413,4.936631284988583
68,2021-09-23,NSE:SIDDHIKA,82.550003,86.550003,82.550003,86.0,16000.0,4.1792814956045445,4.958678831311413
69,2021-09-24,NSE:SIDDHIKA,86.949997,89.0,82.0,85.449997,38000.0,-0.6395383720930277,4.1792814956045445
70,2021-09-27,NSE:SIDDHIKA,85.0,85.0,85.0,85.0,4000.0,-0.5266202642464648,-0.6395383720930277
71,2021-09-28,NSE:SIDDHIKA,87.25,87.25,81.5,81.5,4000.0,-4.117647058823529,-0.5266202642464648
72,2021-09-30,NSE:SIDDHIKA,77.5,77.5,77.449997,77.449997,4000.0,-4.969328834355833,-4.117647058823529
73,2021-10-01,NSE:SIDDHIKA,77.449997,80.199997,77.449997,80.199997,6000.0,3.5506779942160622,-4.969328834355833
74,2021-10-04,NSE:SIDDHIKA,84.199997,84.199997,84.199997,84.199997,2000.0,4.987531358635837,3.5506779942160622
75,2021-10-06,NSE:SIDDHIKA,82.199997,88.400002,82.099998,88.400002,8000.0,4.988129631406049,4.987531358635837
76,2021-10-07,NSE:SIDDHIKA,84.099998,92.75,84.050003,92.75,6000.0,4.920812105863979,4.988129631406049
77,2021-10-08,NSE:SIDDHIKA,92.75,92.75,92.75,92.75,2000.0,0.0,4.920812105863979
78,2021-10-11,NSE:SIDDHIKA,92.75,92.75,90.0,90.0,4000.0,-2.964959568733154,0.0
79,2021-10-12,NSE:SIDDHIKA,85.5,85.5,85.5,85.5,4000.0,-5.0,-2.964959568733154
80,2021-10-13,NSE:SIDDHIKA,89.75,89.75,89.75,89.75,2000.0,4.970760233918129,-5.0
81,2021-10-14,NSE:SIDDHIKA,93.0,94.0,93.0,94.0,4000.0,4.735376044568245,4.970760233918129
82,2021-10-18,NSE:SIDDHIKA,89.5,89.5,89.300003,89.300003,28000.0,-4.999996808510635,4.735376044568245
83,2021-10-20,NSE:SIDDHIKA,84.849998,84.849998,84.849998,84.849998,4000.0,-4.98320811926513,-4.999996808510635
84,2021-10-22,NSE:SIDDHIKA,83.0,83.0,83.0,83.0,2000.0,-2.1803159028948937,-4.98320811926513
85,2021-11-08,NSE:SIDDHIKA,83.0,83.0,83.0,83.0,2000.0,0.0,-2.1803159028948937
86,2021-11-09,NSE:SIDDHIKA,81.0,81.0,81.0,81.0,2000.0,-2.4096385542168677,0.0
87,2021-11-10,NSE:SIDDHIKA,80.0,80.0,80.0,80.0,2000.0,-1.2345679012345678,-2.4096385542168677
88,2021-11-15,NSE:SIDDHIKA,76.0,76.0,76.0,76.0,4000.0,-5.0,-1.2345679012345678
89,2021-11-16,NSE:SIDDHIKA,72.199997,72.199997,72.199997,72.199997,2000.0,-5.000003947368426,-5.0
90,2021-11-17,NSE:SIDDHIKA,68.650002,74.75,68.650002,74.75,8000.0,3.531860257556526,-5.000003947368426
91,2021-11-18,NSE:SIDDHIKA,71.050003,71.050003,71.050003,71.050003,6000.0,-4.949828762541801,3.531860257556526
92,2021-11-22,NSE:SIDDHIKA,74.599998,74.599998,74.599998,74.599998,2000.0,4.996474102893416,-4.949828762541801
93,2021-11-23,NSE:SIDDHIKA,74.599998,78.0,74.599998,78.0,4000.0,4.557643553824224,4.996474102893416
94,2021-12-03,NSE:SIDDHIKA,81.900002,81.900002,81.900002,81.900002,2000.0,5.000002564102565,4.557643553824224
95,2021-12-06,NSE:SIDDHIKA,77.849998,77.849998,77.849998,77.849998,4000.0,-4.945059708301351,5.000002564102565
96,2021-12-15,NSE:SIDDHIKA,78.0,78.0,78.0,78.0,2000.0,0.19268080135339327,-4.945059708301351
97,2021-12-16,NSE:SIDDHIKA,78.0,78.0,77.0,77.0,4000.0,-1.282051282051282,0.19268080135339327
98,2021-12-24,NSE:SIDDHIKA,77.0,77.0,77.0,77.0,4000.0,0.0,-1.282051282051282
99,2021-12-27,NSE:SIDDHIKA,74.050003,74.050003,73.5,73.5,4000.0,-4.545454545454546,0.0
100,2021-12-30,NSE:SIDDHIKA,73.5,73.5,73.5,73.5,2000.0,0.0,-4.545454545454546
101,2022-01-03,NSE:SIDDHIKA,77.150002,77.150002,77.150002,77.150002,2000.0,4.965989115646259,0.0
102,2022-01-11,NSE:SIDDHIKA,73.300003,73.300003,73.300003,73.300003,4000.0,-4.99027725235833,4.965989115646259
103,2022-02-02,NSE:SIDDHIKA,69.699997,76.949997,69.699997,76.949997,4000.0,4.979527763457243,-4.99027725235833
104,2022-02-03,NSE:SIDDHIKA,76.949997,76.949997,73.150002,73.150002,6000.0,-4.938265299737433,4.979527763457243
105,2022-02-24,NSE:SIDDHIKA,69.849998,69.849998,69.849998,69.849998,2000.0,-4.5112835403613545,-4.938265299737433
106,2022-03-04,NSE:SIDDHIKA,68.949997,68.949997,68.949997,68.949997,2000.0,-1.288476772755245,-4.5112835403613545
107,2022-03-24,NSE:SIDDHIKA,72.0,72.0,72.0,72.0,2000.0,4.423499829883972,-1.288476772755245
108,2022-03-29,NSE:SIDDHIKA,68.400002,68.400002,68.400002,68.400002,2000.0,-4.9999972222222215,4.423499829883972
109,2022-04-05,NSE:SIDDHIKA,70.199997,70.849998,70.199997,70.849998,4000.0,3.581865392343115,-4.9999972222222215
110,2022-04-12,NSE:SIDDHIKA,74.349998,74.349998,74.349998,74.349998,2000.0,4.940014253775985,3.581865392343115
111,2022-04-18,NSE:SIDDHIKA,70.650002,78.050003,70.650002,77.5,10000.0,4.2367210285600825,4.940014253775985
112,2022-04-19,NSE:SIDDHIKA,81.349998,81.349998,81.349998,81.349998,4000.0,4.9677393548387085,4.2367210285600825
113,2022-04-20,NSE:SIDDHIKA,77.400002,85.400002,77.349998,83.0,14000.0,2.0282754032765933,4.9677393548387085
114,2022-04-21,NSE:SIDDHIKA,78.900002,87.150002,78.900002,87.150002,4000.0,5.000002409638555,2.0282754032765933
115,2022-04-22,NSE:SIDDHIKA,91.5,91.5,91.5,91.5,2000.0,4.991391738579649,5.000002409638555
116,2022-04-25,NSE:SIDDHIKA,86.949997,86.949997,86.949997,86.949997,4000.0,-4.972680874316944,4.991391738579649
117,2022-05-09,NSE:SIDDHIKA,85.0,89.800003,85.0,89.800003,4000.0,3.2777528445458226,-4.972680874316944
118,2022-05-10,NSE:SIDDHIKA,94.25,94.25,94.25,94.25,2000.0,4.955453063849003,3.2777528445458226
119,2022-05-11,NSE:SIDDHIKA,89.550003,89.550003,89.550003,89.550003,6000.0,-4.986734217506628,4.955453063849003
120,2022-05-23,NSE:SIDDHIKA,92.75,94.0,90.0,94.0,10000.0,4.969287382380094,-4.986734217506628
121,2022-05-24,NSE:SIDDHIKA,90.0,98.699997,90.0,98.699997,6000.0,4.999996808510635,4.969287382380094
122,2022-06-02,NSE:SIDDHIKA,97.5,97.5,97.5,97.5,2000.0,-1.2158024685654207,4.999996808510635
