,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2018-06-27,NSE:SOLARA,265.0,265.0,251.75,251.75,28655.0,,
1,2018-06-28,NSE:SOLARA,239.2,239.2,239.2,239.2,1780.0,-4.98510427010924,
2,2018-06-29,NSE:SOLARA,227.25,227.25,227.25,227.25,101313.0,-4.995819397993307,-4.98510427010924
3,2018-07-02,NSE:SOLARA,215.89999,215.89999,215.89999,215.89999,696.0,-4.994503850385038,-4.995819397993307
4,2018-07-03,NSE:SOLARA,205.14999,205.14999,205.14999,205.14999,834.0,-4.979157247760873,-4.994503850385038
5,2018-07-04,NSE:SOLARA,194.89999,194.89999,194.89999,194.89999,1894.0,-4.996344381981204,-4.979157247760873
6,2018-07-05,NSE:SOLARA,185.2,185.2,185.2,185.2,1875.0,-4.976906361052155,-4.996344381981204
7,2018-07-06,NSE:SOLARA,175.95,175.95,175.95,175.95,3198.0,-4.994600431965443,-4.976906361052155
8,2018-07-09,NSE:SOLARA,167.2,167.2,167.2,167.2,8281.0,-4.973003694231316,-4.994600431965443
9,2018-07-10,NSE:SOLARA,158.85001,175.55,158.85001,166.0,574528.0,-0.7177033492822898,-4.973003694231316
10,2018-07-11,NSE:SOLARA,159.39999,162.95,149.39999,149.39999,393685.0,-10.000006024096383,-0.7177033492822898
11,2018-07-12,NSE:SOLARA,141.3,144.89999,134.5,138.64999,704888.0,-7.195448942131789,-10.000006024096383
12,2018-07-13,NSE:SOLARA,137.25,150.25,137.25,150.25,570800.0,8.366398006952613,-7.195448942131789
13,2018-07-16,NSE:SOLARA,155.0,165.25,155.0,165.25,494446.0,9.983361064891847,8.366398006952613
14,2018-07-17,NSE:SOLARA,169.5,172.0,154.10001,170.35001,251155.0,3.086239031770044,9.983361064891847
15,2018-07-18,NSE:SOLARA,169.0,179.7,166.7,170.75,161900.0,0.23480479983535224,3.086239031770044
16,2018-07-19,NSE:SOLARA,170.0,176.0,166.0,169.7,179532.0,-0.6149341142020565,0.23480479983535224
17,2018-07-20,NSE:SOLARA,170.0,173.0,167.0,167.64999,106738.0,-1.2080200353565034,-0.6149341142020565
18,2018-07-23,NSE:SOLARA,163.0,171.75,160.0,168.05,37910.0,0.23859828443771985,-1.2080200353565034
19,2018-07-24,NSE:SOLARA,164.10001,170.25,164.10001,166.14999,38636.0,-1.1306218387384759,0.23859828443771985
20,2018-07-25,NSE:SOLARA,164.0,169.0,149.55,159.39999,46386.0,-4.062594286042389,-1.1306218387384759
21,2018-07-26,NSE:SOLARA,156.3,168.7,156.3,166.75,60215.0,4.6110479680707614,-4.062594286042389
22,2018-07-27,NSE:SOLARA,168.0,172.75,162.3,167.25,71244.0,0.29985007496251875,4.6110479680707614
23,2018-07-30,NSE:SOLARA,165.0,177.0,165.0,174.85001,67290.0,4.54410164424514,0.29985007496251875
24,2018-07-31,NSE:SOLARA,180.0,181.39999,175.10001,177.2,51408.0,1.3440033546466432,4.54410164424514
25,2018-08-01,NSE:SOLARA,176.25,194.89999,176.25,194.89999,141201.0,9.988707674943576,1.3440033546466432
26,2018-08-02,NSE:SOLARA,206.0,214.35001,192.0,199.85001,488572.0,2.5397743735133056,9.988707674943576
27,2018-08-03,NSE:SOLARA,201.7,209.8,189.89999,209.8,361084.0,4.978728797661813,2.5397743735133056
28,2018-08-06,NSE:SOLARA,220.25,220.25,216.25,220.25,92267.0,4.9809342230695846,4.978728797661813
29,2018-08-07,NSE:SOLARA,231.25,231.25,210.10001,217.25,278392.0,-1.362088535754824,4.9809342230695846
30,2018-08-08,NSE:SOLARA,219.0,221.55,211.0,213.39999,62660.0,-1.7721565017261207,-1.362088535754824
31,2018-08-09,NSE:SOLARA,210.10001,224.05,210.10001,224.05,34210.0,4.990632848670709,-1.7721565017261207
32,2018-08-10,NSE:SOLARA,235.0,235.25,226.95,235.25,67086.0,4.998884177638915,4.990632848670709
33,2018-08-13,NSE:SOLARA,243.0,247.0,239.0,247.0,113726.0,4.994686503719448,4.998884177638915
34,2018-08-14,NSE:SOLARA,259.35001,259.35001,259.35001,259.35001,3473.0,5.000004048582995,4.994686503719448
35,2018-08-16,NSE:SOLARA,272.29999,272.29999,272.29999,272.29999,6901.0,4.993244457557562,5.000004048582995
36,2018-08-17,NSE:SOLARA,285.89999,285.89999,285.89999,285.89999,2893.0,4.994491553231429,4.993244457557562
37,2018-08-20,NSE:SOLARA,300.14999,300.14999,286.39999,300.14999,427703.0,4.9842604051857435,4.994491553231429
38,2018-08-21,NSE:SOLARA,310.0,315.14999,302.0,315.14999,243057.0,4.997501415875442,4.9842604051857435
39,2018-08-23,NSE:SOLARA,329.95001,330.89999,299.39999,330.89999,462076.0,4.997620339445354,4.997501415875442
40,2018-08-24,NSE:SOLARA,347.39999,347.39999,336.60001,347.39999,82847.0,4.98640087598673,4.997620339445354
41,2018-08-27,NSE:SOLARA,364.75,364.75,360.20001,364.75,83031.0,4.994245969897696,4.98640087598673
42,2018-08-28,NSE:SOLARA,382.95001,382.95001,370.25,382.95001,87979.0,4.989721727210424,4.994245969897696
43,2018-08-29,NSE:SOLARA,402.04999,402.04999,363.85001,366.39999,672044.0,-4.321718127125788,4.989721727210424
44,2018-08-30,NSE:SOLARA,362.70001,382.0,350.25,370.5,162787.0,1.1189983929857632,-4.321718127125788
45,2018-08-31,NSE:SOLARA,352.0,372.89999,352.0,352.04999,229410.0,-4.979759784075579,1.1189983929857632
46,2018-09-03,NSE:SOLARA,337.54999,352.04999,337.54999,349.85001,114834.0,-0.6249055709389404,-4.979759784075579
47,2018-09-04,NSE:SOLARA,349.95001,360.95001,340.14999,346.39999,69077.0,-0.9861426043692253,-0.6249055709389404
48,2018-09-05,NSE:SOLARA,347.04999,348.29999,329.10001,330.85001,94770.0,-4.489024379013407,-0.9861426043692253
49,2018-09-06,NSE:SOLARA,330.20001,337.0,317.64999,322.0,61032.0,-2.6749311568707514,-4.489024379013407
50,2018-09-07,NSE:SOLARA,312.60001,338.10001,307.10001,338.10001,422291.0,5.000003105590061,-2.6749311568707514
51,2018-09-10,NSE:SOLARA,354.89999,355.0,321.20001,322.60001,260330.0,-4.5844423370469585,5.000003105590061
52,2018-09-11,NSE:SOLARA,306.5,315.0,306.5,306.5,227416.0,-4.990703503078006,-4.5844423370469585
53,2018-09-12,NSE:SOLARA,300.0,321.79999,293.70001,321.79999,136090.0,4.991840130505703,-4.990703503078006
54,2018-09-14,NSE:SOLARA,328.0,329.5,306.25,323.10001,89396.0,0.4039838534488512,4.991840130505703
55,2018-09-17,NSE:SOLARA,319.0,322.89999,306.95001,314.10001,63214.0,-2.7855152341220912,0.4039838534488512
56,2018-09-18,NSE:SOLARA,314.0,318.39999,298.39999,299.25,51070.0,-4.727796729455691,-2.7855152341220912
57,2018-09-19,NSE:SOLARA,303.04999,314.20001,284.29999,299.85001,582555.0,0.20050459482038344,-4.727796729455691
58,2018-09-21,NSE:SOLARA,303.39999,309.79999,284.89999,285.35001,184047.0,-4.835751047665465,0.20050459482038344
59,2018-09-24,NSE:SOLARA,290.0,290.0,271.10001,271.29999,88179.0,-4.923784653100246,-4.835751047665465
60,2018-09-25,NSE:SOLARA,271.10001,278.0,257.75,262.5,78442.0,-3.2436381586302234,-4.923784653100246
61,2018-09-26,NSE:SOLARA,265.25,275.60001,262.54999,275.60001,41892.0,4.990479999999999,-3.2436381586302234
62,2018-09-27,NSE:SOLARA,280.0,289.35001,276.0,287.0,70782.0,4.136425829592678,4.990479999999999
63,2018-09-28,NSE:SOLARA,292.0,297.95001,272.64999,272.64999,105948.0,-5.0000034843205565,4.136425829592678
64,2018-10-01,NSE:SOLARA,265.04999,277.0,259.04999,272.04999,30459.0,-0.2200623590706982,-5.0000034843205565
65,2018-10-03,NSE:SOLARA,271.04999,285.64999,271.04999,285.64999,49276.0,4.99908123503332,-0.2200623590706982
