,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-04-05,NSE:SPRL,84.0,84.5,84.0,84.0,9600.0,,
1,2022-04-06,NSE:SPRL,83.0,83.0,81.5,81.5,4800.0,-2.976190476190476,
2,2022-04-07,NSE:SPRL,84.900002,84.900002,84.900002,84.900002,1600.0,4.171781595092025,-2.976190476190476
3,2022-04-13,NSE:SPRL,80.0,84.699997,80.0,84.699997,3200.0,-0.23557714403823504,4.171781595092025
4,2022-04-18,NSE:SPRL,84.550003,84.550003,84.550003,84.550003,32000.0,-0.17708855408813345,-0.23557714403823504
5,2022-04-19,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,-5.381434463107001,-0.17708855408813345
6,2022-04-20,NSE:SPRL,80.0,80.0,80.0,80.0,1600.0,0.0,-5.381434463107001
7,2022-04-21,NSE:SPRL,80.0,80.0,80.0,80.0,1600.0,0.0,0.0
8,2022-04-22,NSE:SPRL,80.0,85.0,80.0,85.0,8000.0,6.25,0.0
9,2022-04-25,NSE:SPRL,81.0,81.0,81.0,81.0,1600.0,-4.705882352941177,6.25
10,2022-04-27,NSE:SPRL,81.0,81.0,81.0,81.0,1600.0,0.0,-4.705882352941177
11,2022-04-28,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,-1.2345679012345678,0.0
12,2022-05-02,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,0.0,-1.2345679012345678
13,2022-05-04,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,0.0,0.0
14,2022-05-05,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,0.0,0.0
15,2022-05-06,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,0.0,0.0
16,2022-05-10,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,0.0,0.0
17,2022-05-11,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,0.0,0.0
18,2022-05-12,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,0.0,0.0
19,2022-05-13,NSE:SPRL,80.0,80.0,80.0,80.0,3200.0,0.0,0.0
20,2022-05-19,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,0.0,0.0
21,2022-05-23,NSE:SPRL,85.0,96.0,85.0,90.25,20800.0,12.812499999999998,0.0
22,2022-05-24,NSE:SPRL,90.25,92.0,90.25,92.0,4800.0,1.9390581717451523,12.812499999999998
23,2022-05-25,NSE:SPRL,95.949997,97.0,90.25,90.25,9600.0,-1.9021739130434785,1.9390581717451523
24,2022-05-31,NSE:SPRL,87.5,87.5,87.5,87.5,1600.0,-3.0470914127423825,-1.9021739130434785
25,2022-06-08,NSE:SPRL,84.550003,84.550003,84.550003,84.550003,1600.0,-3.371425142857139,-3.0470914127423825
26,2022-06-20,NSE:SPRL,82.0,82.0,82.0,82.0,1600.0,-3.0159703246846763,-3.371425142857139
27,2022-06-22,NSE:SPRL,80.0,80.0,80.0,80.0,1600.0,-2.4390243902439024,-3.0159703246846763
28,2022-06-28,NSE:SPRL,80.0,80.0,80.0,80.0,1600.0,0.0,-2.4390243902439024
29,2022-06-30,NSE:SPRL,80.0,80.0,80.0,80.0,1600.0,0.0,0.0
30,2022-07-11,NSE:SPRL,80.0,80.0,80.0,80.0,4800.0,0.0,0.0
