,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2015-12-09,NSE:SPYL,2.5,2.5,2.4,2.4,137972.0,,
1,2015-12-10,NSE:SPYL,2.4,2.4,2.3,2.3,33430.0,-4.1666666666666705,
2,2015-12-11,NSE:SPYL,2.3,2.3,2.2,2.2,35002.0,-4.347826086956506,-4.1666666666666705
3,2015-12-14,NSE:SPYL,2.25,2.25,2.1,2.1,38121.0,-4.545454545454549,-4.347826086956506
4,2015-12-15,NSE:SPYL,2.1,2.2,2.0,2.15,35772.0,2.3809523809523725,-4.545454545454549
5,2015-12-16,NSE:SPYL,2.2,2.2,2.2,2.2,3795.0,2.32558139534885,2.3809523809523725
6,2015-12-17,NSE:SPYL,2.2,2.3,2.15,2.25,95750.0,2.2727272727272645,2.32558139534885
7,2015-12-18,NSE:SPYL,2.2,2.3,2.15,2.25,52516.0,0.0,2.2727272727272645
8,2015-12-21,NSE:SPYL,2.15,2.35,2.15,2.25,184399.0,0.0,0.0
9,2015-12-22,NSE:SPYL,2.3,2.3,2.15,2.25,79994.0,0.0,0.0
10,2015-12-23,NSE:SPYL,2.2,2.2,2.15,2.15,85421.0,-4.444444444444448,0.0
11,2015-12-24,NSE:SPYL,2.15,2.15,2.05,2.05,54600.0,-4.651162790697678,-4.444444444444448
12,2015-12-28,NSE:SPYL,2.0,2.0,1.95,1.95,190164.0,-4.8780487804877986,-4.651162790697678
13,2015-12-29,NSE:SPYL,1.9,2.0,1.9,1.95,213012.0,0.0,-4.8780487804877986
14,2015-12-30,NSE:SPYL,2.0,2.0,2.0,2.0,10916.0,2.5641025641025665,0.0
15,2015-12-31,NSE:SPYL,2.05,2.1,2.0,2.1,35960.0,5.000000000000004,2.5641025641025665
16,2016-01-01,NSE:SPYL,2.15,2.2,2.05,2.1,52500.0,0.0,5.000000000000004
17,2016-01-04,NSE:SPYL,2.2,2.2,2.05,2.2,172363.0,4.761904761904765,0.0
18,2016-01-05,NSE:SPYL,2.3,2.3,2.1,2.25,377899.0,2.2727272727272645,4.761904761904765
19,2016-01-06,NSE:SPYL,2.3,2.35,2.15,2.25,109885.0,0.0,2.2727272727272645
20,2016-01-07,NSE:SPYL,2.25,2.25,2.15,2.2,42223.0,-2.2222222222222143,0.0
21,2016-01-08,NSE:SPYL,2.1,2.2,2.1,2.15,97657.0,-2.2727272727272845,-2.2222222222222143
22,2016-01-11,NSE:SPYL,2.2,2.25,2.05,2.15,83691.0,0.0,-2.2727272727272845
23,2016-01-12,NSE:SPYL,2.05,2.15,2.05,2.05,102499.0,-4.651162790697678,0.0
24,2016-01-13,NSE:SPYL,2.1,2.1,1.95,1.95,131025.0,-4.8780487804877986,-4.651162790697678
25,2016-01-14,NSE:SPYL,1.95,1.95,1.9,1.95,213948.0,0.0,-4.8780487804877986
26,2016-01-15,NSE:SPYL,2.0,2.0,1.9,1.95,60377.0,0.0,0.0
27,2016-01-18,NSE:SPYL,2.0,2.0,1.9,1.9,41040.0,-2.5641025641025665,0.0
28,2016-01-19,NSE:SPYL,1.9,1.9,1.85,1.9,72858.0,0.0,-2.5641025641025665
29,2016-01-20,NSE:SPYL,1.85,1.95,1.85,1.85,110425.0,-2.631578947368412,0.0
30,2016-01-21,NSE:SPYL,1.85,1.9,1.8,1.8,16265.0,-2.702702702702705,-2.631578947368412
31,2016-01-22,NSE:SPYL,1.85,1.85,1.8,1.85,33076.0,2.77777777777778,-2.702702702702705
32,2016-01-25,NSE:SPYL,1.9,1.9,1.9,1.9,8900.0,2.7027027027026933,2.77777777777778
33,2016-01-28,NSE:SPYL,1.95,1.95,1.9,1.95,48043.0,2.631578947368424,2.7027027027026933
34,2016-01-29,NSE:SPYL,1.9,2.0,1.9,2.0,55412.0,2.5641025641025665,2.631578947368424
35,2016-02-01,NSE:SPYL,2.1,2.1,2.0,2.1,16166.0,5.000000000000004,2.5641025641025665
36,2016-02-02,NSE:SPYL,2.15,2.15,2.0,2.0,58020.0,-4.761904761904765,5.000000000000004
37,2016-02-03,NSE:SPYL,2.0,2.1,1.9,1.95,57775.0,-2.500000000000002,-4.761904761904765
38,2016-02-04,NSE:SPYL,2.0,2.0,1.9,2.0,12192.0,2.5641025641025665,-2.500000000000002
39,2016-02-05,NSE:SPYL,1.9,2.0,1.85,1.9,38729.0,-5.000000000000004,2.5641025641025665
40,2016-02-08,NSE:SPYL,1.9,1.95,1.8,1.85,76266.0,-2.631578947368412,-5.000000000000004
41,2016-02-09,NSE:SPYL,1.75,1.85,1.75,1.8,24050.0,-2.702702702702705,-2.631578947368412
42,2016-02-10,NSE:SPYL,1.8,1.95,1.7,1.9,29556.0,5.555555555555548,-2.702702702702705
43,2016-02-11,NSE:SPYL,1.8,1.8,1.75,1.75,60599.0,-7.894736842105258,5.555555555555548
44,2016-02-12,NSE:SPYL,1.6,1.7,1.6,1.6,76310.0,-8.571428571428566,-7.894736842105258
45,2016-02-15,NSE:SPYL,1.6,1.6,1.45,1.45,216328.0,-9.375000000000009,-8.571428571428566
46,2016-02-16,NSE:SPYL,1.4,1.4,1.4,1.4,18682.0,-3.448275862068969,-9.375000000000009
47,2016-02-17,NSE:SPYL,1.35,1.35,1.35,1.35,2500.0,-3.5714285714285587,-3.448275862068969
48,2016-02-18,NSE:SPYL,1.3,1.4,1.3,1.3,70900.0,-3.703703703703707,-3.5714285714285587
49,2016-02-19,NSE:SPYL,1.25,1.3,1.25,1.25,36750.0,-3.8461538461538494,-3.703703703703707
50,2016-02-22,NSE:SPYL,1.25,1.3,1.25,1.3,87011.0,4.0000000000000036,-3.8461538461538494
51,2016-02-23,NSE:SPYL,1.35,1.35,1.3,1.3,14527.0,0.0,4.0000000000000036
52,2016-02-24,NSE:SPYL,1.35,1.35,1.35,1.35,16052.0,3.8461538461538494,0.0
53,2016-02-25,NSE:SPYL,1.3,1.4,1.3,1.4,9650.0,3.7037037037036904,3.8461538461538494
54,2016-02-26,NSE:SPYL,1.4,1.4,1.35,1.35,36524.0,-3.5714285714285587,3.7037037037036904
55,2016-02-29,NSE:SPYL,1.35,1.35,1.3,1.3,15901.0,-3.703703703703707,-3.5714285714285587
56,2016-03-01,NSE:SPYL,1.3,1.35,1.25,1.25,232251.0,-3.8461538461538494,-3.703703703703707
57,2016-03-02,NSE:SPYL,1.2,1.25,1.2,1.2,100020.0,-4.0000000000000036,-3.8461538461538494
58,2016-03-03,NSE:SPYL,1.15,1.15,1.15,1.15,76680.0,-4.1666666666666705,-4.0000000000000036
59,2016-03-04,NSE:SPYL,1.1,1.25,1.05,1.25,195796.0,8.695652173913052,-4.1666666666666705
60,2016-03-08,NSE:SPYL,1.2,1.2,1.15,1.15,47702.0,-8.000000000000007,8.695652173913052
61,2016-03-09,NSE:SPYL,1.15,1.2,1.05,1.1,38653.0,-4.347826086956506,-8.000000000000007
62,2016-03-10,NSE:SPYL,1.15,1.2,1.15,1.2,43500.0,9.09090909090908,-4.347826086956506
63,2016-03-11,NSE:SPYL,1.3,1.3,1.2,1.2,17033.0,0.0,9.09090909090908
64,2016-03-14,NSE:SPYL,1.2,1.3,1.2,1.25,99872.0,4.1666666666666705,0.0
65,2016-03-15,NSE:SPYL,1.3,1.35,1.25,1.3,38086.0,4.0000000000000036,4.1666666666666705
66,2016-03-16,NSE:SPYL,1.25,1.3,1.2,1.25,8353.0,-3.8461538461538494,4.0000000000000036
67,2016-03-17,NSE:SPYL,1.35,1.35,1.35,1.35,18034.0,8.000000000000007,-3.8461538461538494
68,2016-03-18,NSE:SPYL,1.45,1.45,1.45,1.45,12151.0,7.407407407407398,8.000000000000007
69,2016-03-21,NSE:SPYL,1.5,1.5,1.5,1.5,18800.0,3.448275862068969,7.407407407407398
70,2016-03-22,NSE:SPYL,1.55,1.55,1.55,1.55,1700.0,3.333333333333336,3.448275862068969
71,2016-03-23,NSE:SPYL,1.6,1.6,1.5,1.6,135329.0,3.2258064516129057,3.333333333333336
72,2016-03-28,NSE:SPYL,1.65,1.65,1.6,1.65,146161.0,3.124999999999989,3.2258064516129057
73,2016-03-29,NSE:SPYL,1.65,1.65,1.6,1.6,14451.0,-3.0303030303030196,3.124999999999989
