,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2007-01-16,NSE:TIDEWATER,104.4975,104.4975,96.3525,96.7675,17180.0,,
1,2007-01-17,NSE:TIDEWATER,102.45,102.45,97.85,97.95,1440.0,1.2220011884155368,
2,2007-01-18,NSE:TIDEWATER,99.865,99.995,98.0,98.3825,1700.0,0.44155181214904576,1.2220011884155368
3,2007-01-19,NSE:TIDEWATER,96.2525,99.25,95.15,95.9175,300.0,-2.505526897568154,0.44155181214904576
4,2007-01-22,NSE:TIDEWATER,98.7,100.0,98.7,100.0,540.0,4.256261891729868,-2.505526897568154
5,2007-01-24,NSE:TIDEWATER,102.0,102.0,98.95,98.95,360.0,-1.0499999999999972,4.256261891729868
6,2007-01-25,NSE:TIDEWATER,98.95,98.95,98.95,98.95,0.0,0.0,-1.0499999999999972
7,2007-01-29,NSE:TIDEWATER,95.4275,99.8,91.3,92.4525,9020.0,-6.5664477008590225,0.0
8,2007-01-31,NSE:TIDEWATER,90.55,98.9,90.5,93.7625,4800.0,1.4169438360239066,-6.5664477008590225
9,2007-02-02,NSE:TIDEWATER,95.0,97.5,94.95,97.325,2640.0,3.799493400879882,1.4169438360239066
10,2007-02-05,NSE:TIDEWATER,97.5,112.0,97.5,105.592505,39860.0,8.494739275622914,3.799493400879882
11,2007-02-06,NSE:TIDEWATER,99.95,114.9,99.95,110.65,25840.0,4.789634453695367,8.494739275622914
12,2007-02-07,NSE:TIDEWATER,115.0,115.0,112.5,113.357495,5640.0,2.4469001355625797,4.789634453695367
13,2007-02-08,NSE:TIDEWATER,114.744995,114.744995,110.0,112.567505,1380.0,-0.6969014267649467,2.4469001355625797
14,2007-02-09,NSE:TIDEWATER,101.75,113.45,101.75,105.75,980.0,-6.05637035306059,-0.6969014267649467
15,2007-02-12,NSE:TIDEWATER,102.5,103.75,100.95,101.01,960.0,-4.482269503546094,-6.05637035306059
16,2007-02-13,NSE:TIDEWATER,100.0,102.0,99.95,100.395,940.0,-0.6088506088506178,-4.482269503546094
17,2007-02-14,NSE:TIDEWATER,98.0,102.45,97.5,101.0,440.0,0.6026196523731302,-0.6088506088506178
18,2007-02-15,NSE:TIDEWATER,101.5,102.5,100.5,101.5,560.0,0.49504950495049505,0.6026196523731302
19,2007-02-19,NSE:TIDEWATER,97.5,103.5,97.5,100.0525,120.0,-1.4261083743842415,0.49504950495049505
20,2007-02-20,NSE:TIDEWATER,98.5,99.0025,98.5,99.0025,120.0,-1.0494490392543887,-1.4261083743842415
21,2007-02-21,NSE:TIDEWATER,98.8,98.8,90.6,95.7825,6180.0,-3.2524431201232282,-1.0494490392543887
22,2007-02-22,NSE:TIDEWATER,99.45,99.45,96.025,96.1525,240.0,0.38629185916008096,-3.2524431201232282
23,2007-02-23,NSE:TIDEWATER,105.0,109.6975,97.3025,97.505,7020.0,1.406619692675689,0.38629185916008096
24,2007-02-27,NSE:TIDEWATER,85.5,101.245,85.5,99.5,2520.0,2.0460489205681807,1.406619692675689
25,2007-02-28,NSE:TIDEWATER,94.5,98.75,93.0025,97.2,780.0,-2.3115577889447207,2.0460489205681807
26,2007-03-01,NSE:TIDEWATER,104.95,104.95,92.5,93.91,11280.0,-3.384773662551447,-2.3115577889447207
27,2007-03-02,NSE:TIDEWATER,93.05,95.5,93.0,93.44,1080.0,-0.5004791821957181,-3.384773662551447
28,2007-03-05,NSE:TIDEWATER,77.9275,93.0,77.9275,88.8,1120.0,-4.965753424657534,-0.5004791821957181
29,2007-03-06,NSE:TIDEWATER,96.0,97.0,94.95,94.95,140.0,6.9256756756756825,-4.965753424657534
30,2007-03-07,NSE:TIDEWATER,85.55,99.5,85.55,87.5975,4920.0,-7.743549236440238,6.9256756756756825
31,2007-03-08,NSE:TIDEWATER,91.15,91.25,87.65,91.125,48120.0,4.026941408145214,-7.743549236440238
32,2007-03-09,NSE:TIDEWATER,88.05,91.75,88.0,91.25,240.0,0.1371742112482853,4.026941408145214
33,2007-03-12,NSE:TIDEWATER,87.65,93.5,87.65,93.5,420.0,2.4657534246575343,0.1371742112482853
34,2007-03-13,NSE:TIDEWATER,94.95,94.95,89.0125,89.0125,6000.0,-4.799465240641708,2.4657534246575343
35,2007-03-14,NSE:TIDEWATER,89.5,93.15,88.75,92.205,14420.0,3.5865749192529086,-4.799465240641708
36,2007-03-15,NSE:TIDEWATER,82.5,94.75,77.0,90.1675,5800.0,-2.2097500135567425,3.5865749192529086
37,2007-03-16,NSE:TIDEWATER,90.05,90.05,90.05,90.05,40.0,-0.13031302853024296,-2.2097500135567425
38,2007-03-19,NSE:TIDEWATER,94.5,94.5,90.1,90.1,100.0,0.05552470849527725,-0.13031302853024296
39,2007-03-20,NSE:TIDEWATER,92.5,92.5,90.0,90.3,5960.0,0.22197558268590772,0.05552470849527725
40,2007-03-21,NSE:TIDEWATER,85.05,93.95,85.05,89.185,4900.0,-1.2347729789590198,0.22197558268590772
41,2007-03-23,NSE:TIDEWATER,89.0,91.5,88.0,90.065,5000.0,0.9867130122778444,-1.2347729789590198
42,2007-03-26,NSE:TIDEWATER,88.25,91.65,88.25,88.5025,7680.0,-1.7348581579970022,0.9867130122778444
43,2007-03-28,NSE:TIDEWATER,85.5,93.9,85.5,91.825,6100.0,3.7541312392305364,-1.7348581579970022
44,2007-03-29,NSE:TIDEWATER,91.825,91.825,91.825,91.825,0.0,0.0,3.7541312392305364
45,2007-03-30,NSE:TIDEWATER,88.25,90.0,88.25,88.5025,560.0,-3.618295671113537,0.0
46,2007-04-02,NSE:TIDEWATER,100.0,100.0,89.5,90.4,500.0,2.1440072314341494,-3.618295671113537
47,2007-04-03,NSE:TIDEWATER,91.2475,91.2475,91.2475,91.2475,0.0,0.9374999999999961,2.1440072314341494
48,2007-04-04,NSE:TIDEWATER,88.75,88.75,88.75,88.75,20.0,-2.737061289350396,0.9374999999999961
49,2007-04-09,NSE:TIDEWATER,91.0,95.0,91.0,94.925,0.0,6.957746478873236,-2.737061289350396
50,2007-04-10,NSE:TIDEWATER,95.0,95.0,94.5,94.5,100.0,-0.44772188569923327,6.957746478873236
51,2007-04-11,NSE:TIDEWATER,94.6,94.6,92.25,93.8,80.0,-0.7407407407407437,-0.44772188569923327
52,2007-04-12,NSE:TIDEWATER,93.8,93.8,93.8,93.8,0.0,0.0,-0.7407407407407437
53,2007-04-13,NSE:TIDEWATER,92.35,94.495,92.35,93.5,320.0,-0.3198294243070332,0.0
54,2007-04-16,NSE:TIDEWATER,95.0,96.25,90.6,95.59,380.0,2.2352941176470624,-0.3198294243070332
55,2007-04-17,NSE:TIDEWATER,94.995,94.995,91.55,91.755,80.0,-4.011925933675079,2.2352941176470624
56,2007-04-18,NSE:TIDEWATER,96.25,100.0,95.0,95.215,0.0,3.7709116669391403,-4.011925933675079
57,2007-04-19,NSE:TIDEWATER,91.6,97.5,91.55,92.1125,380.0,-3.2584151656776834,3.7709116669391403
58,2007-04-20,NSE:TIDEWATER,95.0,101.0,88.1,93.65,1280.0,1.669154566426933,-3.2584151656776834
59,2007-04-23,NSE:TIDEWATER,92.5,92.5,92.5,92.5,380.0,-1.2279765082754999,1.669154566426933
60,2007-04-24,NSE:TIDEWATER,92.5725,92.5725,92.365,92.365,500.0,-0.14594594594595148,-1.2279765082754999
61,2007-04-25,NSE:TIDEWATER,95.0,95.9475,92.0125,93.25,320.0,0.9581551453472692,-0.14594594594595148
62,2007-04-26,NSE:TIDEWATER,95.995,95.995,94.5,95.0,260.0,1.876675603217158,0.9581551453472692
63,2007-04-27,NSE:TIDEWATER,95.0,95.0,95.0,95.0,0.0,0.0,1.876675603217158
64,2007-05-03,NSE:TIDEWATER,97.5,97.5,92.5,92.6425,680.0,-2.4815789473684227,0.0
65,2007-05-04,NSE:TIDEWATER,92.6425,92.6425,92.6425,92.6425,0.0,0.0,-2.4815789473684227
66,2007-05-07,NSE:TIDEWATER,88.5,96.5,88.5,90.75,160.0,-2.0427989313759864,0.0
67,2007-05-08,NSE:TIDEWATER,92.0,92.0,91.25,91.25,240.0,0.5509641873278237,-2.0427989313759864
68,2007-05-09,NSE:TIDEWATER,90.25,93.0,90.0,93.0,600.0,1.9178082191780823,0.5509641873278237
69,2007-05-14,NSE:TIDEWATER,88.55,91.9475,88.55,90.2,360.0,-3.01075268817204,1.9178082191780823
70,2007-05-15,NSE:TIDEWATER,91.0,91.0,91.0,91.0,100.0,0.8869179600886887,-3.01075268817204
71,2007-05-17,NSE:TIDEWATER,90.0,90.0,90.0,90.0,400.0,-1.098901098901099,0.8869179600886887
72,2007-05-18,NSE:TIDEWATER,90.0,90.0,88.8,88.8,720.0,-1.3333333333333366,-1.098901098901099
73,2007-05-21,NSE:TIDEWATER,88.5,88.5,88.0,88.0,500.0,-0.9009009009008978,-1.3333333333333366
74,2007-05-22,NSE:TIDEWATER,87.6,87.6,87.5025,87.5025,120.0,-0.5653409090909117,-0.9009009009008978
75,2007-05-23,NSE:TIDEWATER,88.85,88.85,88.75,88.75,700.0,1.425673552184226,-0.5653409090909117
76,2007-05-24,NSE:TIDEWATER,90.0,90.0,90.0,90.0,200.0,1.4084507042253522,1.425673552184226
77,2007-05-28,NSE:TIDEWATER,88.75,88.75,88.5,88.5,60.0,-1.6666666666666667,1.4084507042253522
78,2007-05-29,NSE:TIDEWATER,87.0,87.0,85.8,85.8,700.0,-3.050847457627122,-1.6666666666666667
79,2007-05-30,NSE:TIDEWATER,87.0,87.5,85.765,85.765,640.0,-0.040792540792536816,-3.050847457627122
80,2007-05-31,NSE:TIDEWATER,88.75,88.75,87.5,87.5,800.0,2.0229697429021156,-0.040792540792536816
81,2007-06-01,NSE:TIDEWATER,89.5,90.0,88.0,89.02,560.0,1.7371428571428527,2.0229697429021156
82,2007-06-04,NSE:TIDEWATER,93.5,94.9975,90.0,94.525,1640.0,6.184003594697832,1.7371428571428527
83,2007-06-05,NSE:TIDEWATER,93.75,93.75,90.0,90.69,480.0,-4.057127743983082,6.184003594697832
84,2007-06-06,NSE:TIDEWATER,92.5,92.5,90.5,92.5,260.0,1.9958099018634938,-4.057127743983082
