,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,2022-11-28,NSE:VINNY,3.52171801,3.5934568,3.52171801,3.5934568,90781.54447204,,
1,2022-11-29,NSE:VINNY,3.77171651,3.77171651,3.77171651,3.77171651,67275.40349144,4.960674913359201,
2,2022-11-30,NSE:VINNY,3.95867204,3.95867204,3.95867204,3.95867204,23023.13808374,4.956775767858547,4.960674913359201
3,2022-12-01,NSE:VINNY,4.15649672,4.15649672,3.79345551,4.15649672,1525139.14718541,4.997248521754271,4.956775767858547
4,2022-12-02,NSE:VINNY,4.30214798,4.36301731,4.17606204,4.35432171,650558.9017967,4.759416482830762,4.997248521754271
5,2022-12-05,NSE:VINNY,4.56519001,4.57171171,4.20649651,4.46736451,608836.65156304,2.5961058352760196,4.759416482830762
6,2022-12-06,NSE:VINNY,4.65214601,4.68910231,4.2456268,4.2564963,843898.06136902,-4.720192622025376,2.5961058352760196
7,2022-12-07,NSE:VINNY,4.15432304,4.34780001,4.05432351,4.13041001,342104.0518057,-2.962208377815339,-4.720192622025376
8,2022-12-08,NSE:VINNY,4.21736601,4.33693051,3.96736751,4.33693051,262040.5716164,4.999999987894661,-2.962208377815339
9,2022-12-09,NSE:VINNY,4.43258211,4.55214661,4.30432201,4.50432081,459427.75546718,3.859649113907525,4.999999987894661
10,2022-12-12,NSE:VINNY,4.3108438,4.69562401,4.3108438,4.68040671,173076.03804208,3.9092664005874718,3.859649113907525
11,2022-12-13,NSE:VINNY,4.77171051,4.91301401,4.49997301,4.91301401,1171420.02571709,4.969809557426274,3.9092664005874718
12,2022-12-14,NSE:VINNY,5.14996911,5.15866471,4.79562341,4.98692661,253829.52236975,1.5044247756989375,4.969809557426274
13,2022-12-15,NSE:VINNY,4.92388351,5.20866441,4.73910201,4.94127471,250080.49988459,-0.915431558757192,1.5044247756989375
14,2022-12-16,NSE:VINNY,5.06518701,5.08475211,4.69562401,4.91084011,1824715.94392934,-0.615926087622852,-0.915431558757192
15,2022-12-19,NSE:VINNY,5.02170901,5.15431691,4.73475421,5.15431691,449445.6955987,4.957945983706661,-0.615926087622852
16,2022-12-20,NSE:VINNY,5.26083801,5.41083711,5.26083801,5.41083711,498573.99025091,4.976803027037771,4.957945983706661
17,2022-12-21,NSE:VINNY,5.68040028,5.68040028,5.43475001,5.46735851,1084341.50345432,1.0445962214523268,4.976803027037771
18,2022-12-22,NSE:VINNY,5.69561801,5.69561801,5.19562101,5.53474941,256566.5387853,1.2326043715029666,1.0445962214523268
19,2022-12-23,NSE:VINNY,5.63040101,5.63040101,5.25866411,5.25866411,357813.14602267,-4.988216801670883,1.2326043715029666
20,2022-12-26,NSE:VINNY,5.36735911,5.51953211,5.14779521,5.51735821,254082.52388715,4.919388167577801,-4.988216801670883
21,2022-12-27,NSE:VINNY,5.78692225,5.79126961,5.43475001,5.79126961,550025.29883565,4.964538998094151,4.919388167577801
22,2022-12-28,NSE:VINNY,6.08039875,6.08039875,5.86953001,6.08039875,605524.63169884,4.992500081514941,4.964538998094151
23,2022-12-29,NSE:VINNY,5.86953001,6.30213612,5.78257401,5.94779041,305878.83454108,-2.1809151908006035,4.992500081514941
24,2022-12-30,NSE:VINNY,6.17387601,6.21735401,5.87822561,6.11952851,174203.04480142,2.8874268957301856,-2.1809151908006035
25,2023-01-02,NSE:VINNY,6.39126602,6.42387452,6.19778891,6.40213552,376995.26106946,4.618117384994413,2.8874268957301856
26,2023-01-03,NSE:VINNY,6.64126452,6.72169925,6.40648375,6.72169925,411334.46702253,4.991517736569258,4.618117384994413
27,2023-01-04,NSE:VINNY,6.95648002,7.05647942,6.85648062,7.05647942,524978.14861268,4.98058835345838,4.991517736569258
28,2023-01-05,NSE:VINNY,7.34560812,7.40865078,7.17821825,7.40865078,991489.94656716,4.990751606273383,4.98058835345838
29,2023-01-06,NSE:VINNY,7.77821378,7.77821378,7.77821378,7.77821378,425249.55047973,4.988263193585154,4.990751606273383
30,2023-01-09,NSE:VINNY,8.15212502,8.16516842,7.50430325,7.80430102,2956460.73168993,0.33538857040774017,4.988263193585154
31,2023-01-10,NSE:VINNY,7.48256425,7.67169312,7.41517292,7.41517292,263213.57865163,-4.9860724106205705,0.33538857040774017
32,2023-01-11,NSE:VINNY,7.04560992,7.25647778,7.04560992,7.04560992,866990.1998666,-4.9838756828343715,-4.9860724106205705
33,2023-01-12,NSE:VINNY,6.69343812,7.39778128,6.69343812,7.39778128,396108.37570241,4.998451007063414,-4.9838756828343715
34,2023-01-13,NSE:VINNY,7.73908402,7.76734428,7.56517202,7.76734428,228529.37062938,4.995592408214581,4.998451007063414
35,2023-01-16,NSE:VINNY,8.03908178,8.15429892,7.76734428,8.15429892,590206.53982695,4.9818139385988545,4.995592408214581
36,2023-01-17,NSE:VINNY,8.56081779,8.56081779,8.04343002,8.56081779,1749045.49008768,4.9853319578821536,4.9818139385988545
37,2023-01-18,NSE:VINNY,8.98690262,8.98690262,8.69560002,8.98690262,600211.59983336,4.977151020521845,4.9853319578821536
38,2023-01-19,NSE:VINNY,9.32603102,9.43472602,9.17603192,9.43472602,1208841.25015489,4.983067236128558,4.977151020521845
39,2023-01-20,NSE:VINNY,9.90646276,9.90646276,9.90428842,9.90646276,1118036.7055449,5.000004653023309,4.983067236128558
40,2023-01-23,NSE:VINNY,9.91298402,9.99124442,9.41081312,9.41081312,462923.77643494,-5.003295848456809,5.000004653023309
41,2023-01-24,NSE:VINNY,8.94125029,9.77820179,8.94125029,9.59776852,2043056.25344873,1.986601982380035,-5.003295848456809
42,2023-01-25,NSE:VINNY,9.28690126,9.66950679,9.11951052,9.43037779,1011753.0680974,-1.7440588367096923,1.986601982380035
