,datetime,symbol,open,high,low,close,volume,change (%),last day change (%)
0,1999-01-01,NSE:VSTIND,138.0,138.0,132.0,132.0,3350.0,,
1,1999-01-04,NSE:VSTIND,134.0,141.0,133.0,141.0,6400.0,6.8181818181818175,
2,1999-01-05,NSE:VSTIND,140.0,141.0,137.0,137.0,2100.0,-2.8368794326241136,6.8181818181818175
3,1999-01-06,NSE:VSTIND,137.5,139.5,137.0,138.0,1300.0,0.7299270072992701,-2.8368794326241136
4,1999-01-07,NSE:VSTIND,139.64999,140.0,138.0,140.0,650.0,1.4492753623188406,0.7299270072992701
5,1999-01-08,NSE:VSTIND,138.0,140.0,137.0,140.0,1150.0,0.0,1.4492753623188406
6,1999-01-11,NSE:VSTIND,140.0,148.0,135.2,147.0,6950.0,5.0,0.0
7,1999-01-12,NSE:VSTIND,144.0,147.5,140.55,140.8,3300.0,-4.217687074829924,5.0
8,1999-01-13,NSE:VSTIND,140.2,140.60001,140.10001,140.10001,400.0,-0.4971519886363735,-4.217687074829924
9,1999-01-14,NSE:VSTIND,138.0,138.5,135.10001,138.5,4600.0,-1.1420484552427923,-0.4971519886363735
10,1999-01-15,NSE:VSTIND,138.5,138.5,128.2,128.2,1700.0,-7.43682310469315,-1.1420484552427923
11,1999-01-18,NSE:VSTIND,128.0,128.0,122.0,125.0,900.0,-2.496099843993751,-7.43682310469315
12,1999-01-19,NSE:VSTIND,127.0,127.0,120.05,120.05,1200.0,-3.9600000000000026,-2.496099843993751
13,1999-01-21,NSE:VSTIND,125.0,127.0,123.6,126.0,1350.0,4.956268221574347,-3.9600000000000026
14,1999-01-22,NSE:VSTIND,129.95,129.95,124.0,124.0,500.0,-1.5873015873015872,4.956268221574347
15,1999-01-25,NSE:VSTIND,118.5,120.0,118.1,118.8,600.0,-4.193548387096777,-1.5873015873015872
16,1999-01-27,NSE:VSTIND,119.1,123.1,119.05,122.0,1650.0,2.693602693602696,-4.193548387096777
17,1999-01-28,NSE:VSTIND,122.0,122.0,120.0,121.75,3800.0,-0.20491803278688525,2.693602693602696
18,1999-01-29,NSE:VSTIND,115.05,118.9,115.0,118.9,300.0,-2.340862422997942,-0.20491803278688525
19,1999-02-01,NSE:VSTIND,118.0,118.0,109.5,109.5,1800.0,-7.905803195962998,-2.340862422997942
